index,374_1_www.kino.de,374_2_www.kino.de,374_3_www.kino.de,374_4_www.kino.de,374_5_www.kino.de,374_6_www.kino.de,374_7_www.kino.de,374_8_www.kino.de,374_9_www.kino.de,374_10_www.kino.de,375_1_www.kino.de,375_2_www.kino.de,375_3_www.kino.de,375_4_www.kino.de,375_5_www.kino.de,375_6_www.kino.de,375_7_www.kino.de,375_8_www.kino.de,375_9_www.kino.de,375_10_www.kino.de,376_1_www.kino.de,376_2_www.kino.de,376_3_www.kino.de,376_4_www.kino.de,376_5_www.kino.de,376_6_www.kino.de,376_7_www.kino.de,376_8_www.kino.de,376_9_www.kino.de,376_10_www.kino.de,377_1_www.kino.de,377_2_www.kino.de,377_3_www.kino.de,377_4_www.kino.de,377_5_www.kino.de,377_6_www.kino.de,377_7_www.kino.de,377_8_www.kino.de,377_9_www.kino.de,377_10_www.kino.de
1,-442.0,641.0,-442.0,1539.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,72721.1,57464.16000000001,55347.28,48485.04,48506.4,62104.28,24482.599999999984,48971.72,58577.14,14319.5,193907.22,205398.68,188427.16,200520.02,163408.3,182365.46,179659.34,178021.92,138153.08,115196.8,117644.44,115158.04,59627.98,46090.58,94344.40000000001,115149.7,78371.26,49825.560000000005,114072.54,90859.08000000012,112560.12,81973.38,111899.76,82431.6,95621.52000000002,114589.0,66076.16000000002,70483.22,112092.5,112932.68000000001
3,212480.76,203304.24000000002,188600.96,168085.28000000003,167492.0,247761.4,133019.39999999997,105853.6,188779.6,173526.24,322056.92,333415.32,469329.27999999997,339685.08,299836.4,318895.72,293232.72,367048.19999999995,470311.96,291676.6,279751.56,203205.96,207950.24,188495.08,225746.88,195033.4,189899.96,281002.68,280580.48,279102.36,220784.5999999999,182632.6,240612.72,216061.39999999994,202446.76,275498.0,192134.4,208563.12000000008,279453.0,194221.36
4,311030.46,313638.72000000003,291803.66,285041.72,253433.99999999994,326473.6,292055.2,274189.88,290710.38,280300.24000000005,643042.6799999999,673669.6799999999,639729.64,679648.08,441199.90000000026,595245.74,393364.24,505960.80000000005,623033.0,360104.8,322800.9,303756.07999999996,313380.88,287468.74,310737.12,304775.74,301859.38,323396.08,323785.76,319604.56,308496.56,293340.22000000003,303990.39999999997,296021.8,289726.26,306310.0,296847.0,305291.14,318912.0,309286.9
5,403547.48,408003.88,327474.96,312115.52,307569.8,428509.04000000004,320592.8,300795.32,337270.32,309315.48,805747.24,907230.52,813673.88,964823.2400000001,675037.2,782609.32,695512.68,694580.76,885186.9200000003,670689.8,418499.43999999994,363260.32,380205.16,326641.16,376936.84,365044.44000000006,326536.84,451218.96,512054.64,417900.2,409325.4,318788.2,399276.92,371885.8,325221.48,472777.0,340376.2,377515.76,507042.0,351029.76
6,512811.2999999999,508313.0,426519.59999999986,401898.4,400767.0,582186.6,419034.5,328993.0,406956.5,365707.6000000001,999782.599999999,1731815.7999999993,1343224.1999999988,1869609.7,868738.5,973974.0000000009,834040.9,901322.4,1327401.6000000003,891456.0,598400.7,557673.2000000002,517955.7,429987.8,385018.4,572689.1,386197.0,592440.4,609857.8,590309.4,572404.0,475907.7000000002,573056.0,540125.0,489521.4,589500.0,477137.40000000014,540364.0,631710.0,519072.89999999997
7,608885.64,642060.5599999999,581237.4,473020.68,485334.2,662913.24,432542.4,416551.68,416854.64,500736.0000000001,1943566.32,1969872.04,1922069.08,1994126.16,1337967.2000000007,1813423.68,1264582.4,1347599.1600000001,1961953.9200000002,1538897.9999999993,687526.1600000001,631291.4400000001,640394.8,576908.92,450252.84,640152.52,567342.9999999991,656890.24,659657.24,653821.2800000001,640237.96,589166.72,638932.56,616387.8,591025.8,645976.0,593548.48,643603.04,709960.0,609434.12
8,666505.3999999996,723768.28,635717.3600000001,574184.7200000001,597250.4,739881.96,538556.6,493092.60000000003,585212.58,579670.86,1990654.92,2039673.92,2022114.4,2050920.14,1839796.0,1966199.98,1893209.94,1906060.2,2000254.24,1905011.4,732540.9400000001,655767.96,688852.1400000002,644920.7999999999,669192.72,718423.34,608326.22,736163.88,740201.32,733757.34,723340.88,636846.84,719330.08,656091.4,646131.2,722788.5,646876.54,721264.54,725023.0,720641.02
9,745176.24,734037.92,686454.0800000001,651119.56,622743.0,748172.16,633636.0,606612.76,663844.52,643252.92,2020665.36,2072677.72,2059132.64,2098037.9200000013,1975317.8,2034790.8399999999,1990238.24,1979509.04,2065902.16,1981076.8,765645.48,731344.92,729499.88,720403.24,769705.16,734137.96,660127.08,757448.2,771039.08,759647.84,762721.72,712291.04,739669.96,724739.8,722110.6000000001,761221.0,722195.48,735853.36,762548.0,730754.36
10,751891.38,759524.36,734124.22,723212.84,675962.2,807500.08,762129.6,659273.32,662666.14,718348.62,2081293.76,2123928.4400000004,2099273.92,2245175.46,2020280.2,2063439.34,2025838.4,2029948.92,2216410.8,2002122.8,805591.38,744760.24,762000.14,735268.82,808556.24,755058.52,734498.5599999999,812226.24,774666.9400000001,771720.7600000005,793212.56,756070.6599999999,754814.5599999999,742010.0,726676.7999999999,786118.0,724324.62,747987.38,804903.0,755624.76
