index,98_1_www.paypal.com,98_2_www.paypal.com,98_3_www.paypal.com,98_4_www.paypal.com,98_5_www.paypal.com,98_6_www.paypal.com,98_7_www.paypal.com,98_8_www.paypal.com,98_9_www.paypal.com,98_10_www.paypal.com,99_1_www.paypal.com,99_2_www.paypal.com,99_3_www.paypal.com,99_4_www.paypal.com,99_5_www.paypal.com,99_6_www.paypal.com,99_7_www.paypal.com,99_8_www.paypal.com,99_9_www.paypal.com,99_10_www.paypal.com,100_1_www.paypal.com,100_2_www.paypal.com,100_3_www.paypal.com,100_4_www.paypal.com,100_5_www.paypal.com,100_6_www.paypal.com,100_7_www.paypal.com,100_8_www.paypal.com,100_9_www.paypal.com,100_10_www.paypal.com,101_1_www.paypal.com,101_2_www.paypal.com,101_3_www.paypal.com,101_4_www.paypal.com,101_5_www.paypal.com,101_6_www.paypal.com,101_7_www.paypal.com,101_8_www.paypal.com,101_9_www.paypal.com,101_10_www.paypal.com
1,67.0,67.0,67.0,67.0,-48.0,-442.0,67.0,67.0,67.0,67.0,67.0,0.0,67.0,67.0,67.0,67.0,-48.0,67.0,67.0,67.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-48.0,67.0,-442.0,-442.0,-442.0,-48.0,67.0,-442.0,-442.0,-442.0
2,1029.8799999999994,1347.1200000000006,1741.68,-419.31999999999994,1583.0,1585.24,1120.5199999999995,-465.680000000001,1755.0,1537.12,1473.92,1732.3,563.48,1808.6600000000003,554.36,518.24,426.90000000000003,1548.32,1797.48,148.68000000000004,326.76,1608.92,1536.6,1490.8,1594.12,1629.64,1614.84,1611.88,1570.44,1149.8600000000001,688.2800000000002,-495.71999999999997,1600.04,1580.8,1603.0,1390.52,350.0799999999998,1616.32,1585.24,1541.5
3,1286.6399999999999,1314.3600000000001,1212.4800000000002,1556.08,2154.8000000000015,1183.52,1294.56,1580.2800000000002,1350.0,2402.4,2517.360000000002,1635.319999999999,2093.16,4656.320000000001,1957.9599999999996,2187.3999999999996,1876.8000000000015,4698.96,472.2799999999997,1450.5199999999998,32.639999999999844,1190.88,1143.32,2504.4000000000005,1159.76,1382.9600000000003,1245.7600000000002,1218.3200000000002,1223.1200000000001,4472.12,1151.84,1587.68,1143.92,1195.3999999999999,1136.0,2436.7599999999998,1333.3200000000002,1259.4799999999998,1183.52,1158.6000000000004
4,2605.04,2573.96,4834.04,652.7199999999999,4590.2,725.5200000000015,2596.16,701.0800000000005,2534.0,4210.240000000002,4527.76,4669.62,5407.56,9053.58,3710.720000000004,947.5599999999994,1269.3000000000002,7842.799999999998,4603.26,4977.360000000002,1916.88,509.68000000000006,2466.36,4457.6,280.48000000000025,551.5799999999998,601.3600000000001,926.2400000000013,2085.120000000001,6141.160000000003,1903.8400000000045,712.1199999999999,372.1599999999996,1133.399999999997,418.0,4515.24,659.2400000000013,605.0400000000001,725.5200000000015,2470.8
5,4669.72,4583.2,4470.88,2302.16,12996.800000000005,4525.84,4657.88,4571.32,4414.0,6221.3200000000015,6647.32,6852.64,4706.28,24113.52,5743.200000000004,5033.24,5083.0,19752.519999999997,6762.32,7440.76,1065.04,4525.2,4572.48,5907.2,2300.92,2287.4,4713.44,2686.08,4589.04,8473.92,4584.32,2365.36,2275.64,4544.8,2263.0,8358.079999999998,3635.319999999999,4619.2,2338.84,4578.400000000001
6,4951.999999999997,6295.800000000001,7134.6,4461.000000000001,18682.0,4433.3,4178.599999999999,4500.9,7212.0,20462.8,10998.200000000008,13044.999999999987,6343.6,30128.1,8985.3,12812.4,4838.0,26365.6,14204.000000000025,9158.000000000002,4925.8,4306.900000000001,4602.6,6046.0,4385.900000000001,4556.2,4369.5,4605.099999999999,4520.7,9866.699999999999,4062.9000000000005,4477.2,4354.3,4457.0,4338.5,12494.400000000012,4653.9,4393.0,4433.3,4278.5
7,6689.879999999999,7182.120000000001,6198.279999999996,4114.080000000001,21351.200000000004,3953.8399999999992,13296.48,7201.68,7207.0,22757.32,22312.88,21936.24,19718.88,35008.04,20902.879999999997,14607.440000000008,18665.400000000012,30729.56,15644.16,17429.92,4872.76,4056.32,10233.959999999995,7905.5999999999985,3711.9200000000005,4533.44,4091.7999999999984,4588.600000000002,6955.800000000001,17466.36,6556.08,6967.6799999999985,6323.320000000002,6037.8,6079.0,17999.760000000006,6861.04,4052.119999999999,5932.839999999999,5398.600000000001
8,8505.16,8550.34,8080.8600000000015,6005.28,22399.0,8834.239999999998,12495.720000000001,7252.58,13795.0,22276.4,22574.36,22102.960000000003,22834.96,35777.55999999999,23355.52,14733.44,20794.8,32824.04,17060.46,22787.239999999998,7498.52,8657.919999999998,11676.64,10365.4,6700.800000000005,7012.72,6991.96,6691.14,12355.440000000006,24372.96,6337.2000000000035,7064.919999999999,6539.88,5711.599999999999,6555.0,22670.16,7512.559999999992,6825.959999999999,9506.24,11491.3
9,11017.679999999997,16936.880000000005,9920.799999999996,5278.199999999997,37480.4,19285.480000000003,14029.039999999999,8539.760000000002,13715.0,25517.96,29100.12000000001,40811.56,22922.8,45087.63999999995,23094.40000000001,23044.239999999998,23470.399999999998,42493.91999999999,23976.399999999998,27296.92,7525.24,9766.399999999998,14211.360000000002,11839.0,7104.16,6629.92,7097.84,8039.799999999998,12014.84,24072.319999999996,14345.600000000002,8419.88,8155.48,8261.6,8509.0,29766.72000000002,8744.88,6425.520000000001,9776.32,12963.199999999999
10,15775.12,22227.88,21961.34,14673.959999999995,38287.4,18581.72,15422.280000000002,15727.279999999979,17704.0,32048.640000000003,37431.759999999995,38870.119999999995,26856.760000000002,58942.92,25942.019999999997,24319.20000000001,24467.200000000033,58668.12,28210.76,25313.84,8788.200000000008,11926.22,14002.880000000001,14896.999999999998,11748.44,6235.22,8608.659999999998,9777.619999999999,13581.74,29834.500000000007,22291.72,10856.800000000001,13597.399999999998,8927.999999999993,12015.0,33880.44,9822.619999999999,7073.360000000002,18569.62,19586.6
