index,205_1_java.com,205_2_java.com,205_3_java.com,205_4_java.com,205_5_java.com,205_6_java.com,205_7_java.com,205_8_java.com,205_9_java.com,205_10_java.com,206_1_java.com,206_2_java.com,206_3_java.com,206_4_java.com,206_5_java.com,206_6_java.com,206_7_java.com,206_8_java.com,206_9_java.com,206_10_java.com,207_1_java.com,207_2_java.com,207_3_java.com,207_4_java.com,207_5_java.com,207_6_java.com,207_7_java.com,207_8_java.com,207_9_java.com,207_10_java.com,208_1_java.com,208_2_java.com,208_3_java.com,208_4_java.com,208_5_java.com,208_6_java.com,208_7_java.com,208_8_java.com,208_9_java.com,208_10_java.com
1,-442.0,-235.0,-442.0,-442.0,-442.0,0.0,-442.0,0.0,67.0,-442.0,0.0,-442.0,-442.0,-48.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-48.0,-442.0,-113.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1322.58,1396.22,1387.36,1505.3200000000004,1399.4,-75.84,1338.3799999999999,-63.84,1492.88,1352.6000000000001,-70.56,1453.72,1325.74,-65.28,1507.2,1571.5,1512.1000000000001,1640.0,1325.8999999999999,1370.0,1399.4,1423.9,1394.5,1682.92,1662.3799999999999,-91.19999999999999,1370.0,831.2399999999993,1611.82,1357.34,1468.0,-266.5200000000001,1629.64,1186.7999999999995,1637.04,1277.4399999999996,1141.4799999999996,1613.36,1360.2,1322.7599999999998
3,4117.56,3872.44,3961.56,4097.72,3468.1999999999994,-199.68,4083.16,-127.68,3697.24,4052.2,-141.12,3586.56,4110.68,-226.56,2024.6000000000008,4069.4,1941.7999999999988,1479.0,4080.2000000000007,3438.9999999999995,3029.7999999999993,3264.2000000000003,3509.0000000000005,4038.44,4083.16,-153.60000000000002,3438.9999999999995,1426.0800000000004,2688.8,4041.88,2139.000000000001,1492.88,1504.48,1447.3999999999999,1486.28,1453.72,1444.24,1544.52,3575.3999999999996,1456.8799999999999
4,4161.959999999999,5185.46,5287.28,4945.759999999998,4166.88,-178.35999999999984,4119.98,-144.48,5113.119999999999,4422.400000000004,-259.68,4546.280000000001,4094.54,-188.16,3567.12,4132.7,3570.36,4121.0,4187.82,4147.8,4166.88,3985.6400000000012,4132.7,4705.160000000002,4119.98,-129.59999999999997,4116.8,3638.6800000000007,3985.6400000000012,4668.859999999999,3669.2000000000016,2667.4000000000033,4084.88,3508.9999999999986,4110.68,3631.3999999999996,3447.7999999999997,4026.3599999999997,4110.44,3404.9
5,4551.56,7823.519999999998,4821.759999999998,8342.92,4991.28,1375.9600000000003,4343.160000000001,-219.5200000000002,8925.52,4589.400000000001,-149.75999999999996,6030.88,5209.8399999999965,-26.880000000000024,5488.44,4364.8,5530.159999999999,3552.0,5189.08,5268.6,5130.28,5264.68,5310.2,4488.08,4507.160000000001,-274.40000000000026,4939.6,5496.84,4940.68,4588.16,5260.2,3697.24,3880.1599999999994,3595.2,3645.76,3586.56,3599.52,4161.32,5077.4800000000005,3582.2400000000002
6,5929.9,8082.900000000001,8340.800000000001,14010.200000000003,6247.400000000001,4269.600000000002,8261.9,1423.6999999999998,9142.000000000004,6374.0,-31.199999999999932,7760.4,6708.300000000001,1418.9999999999995,4539.5999999999985,8328.5,4594.9,5614.0,6388.4,6529.0,6386.400000000001,6363.399999999997,6551.0,8298.6,8417.9,1400.0,6200.0,4523.6,6039.399999999997,7020.799999999994,4214.0,5498.2,5698.3,4138.0,5404.8,4291.2,4143.3,5487.2,6964.2,4368.400000000001
7,8137.48,14034.44,7446.799999999998,16374.28,8312.16,4296.6399999999985,8302.12,3931.3199999999997,16056.079999999996,8376.399999999998,824.2400000000014,13728.44,9892.96,4093.48,8495.76,8372.8,6288.28,4927.0,8296.72,8463.2,8442.52,8673.48,8586.8,8523.08,8450.12,4013.3999999999996,8134.200000000001,8511.36,8349.48,8141.3600000000015,8551.6,4823.119999999999,4765.880000000001,5181.600000000001,4647.679999999999,5148.96,5402.76,4521.84,10116.84,5370.84
8,9670.800000000001,16467.76,13511.840000000002,16345.279999999999,7886.16,8371.52,12216.3,5485.179999999999,16536.68,13938.00000000001,1531.7800000000004,16162.24,12785.58,4168.719999999999,8446.72,12967.400000000001,8424.66,6567.0,7606.46,7894.599999999999,8160.3600000000015,8119.46,8193.9,14060.52,12363.22,4589.5999999999985,7565.599999999999,8499.68,8387.659999999998,14215.54,8524.800000000001,6479.5199999999995,6621.4800000000005,7051.6,6349.28,4606.12,4712.54,8716.52,13261.32,4820.360000000001
9,13776.559999999992,16401.48,16250.28,17786.24,13945.08,13929.96,15689.76,4844.480000000002,16593.32,15484.800000000001,3978.8399999999997,15599.92,14065.48,4658.320000000001,9480.400000000003,15525.6,7773.3600000000015,6420.0,14000.16,14102.6,14067.08,13927.16,14185.199999999999,15466.96,15835.76,4698.2,13773.6,11252.479999999994,13603.16,15479.72,11269.800000000003,8365.080000000005,8804.12,6979.4,6948.120000000001,6261.68,6520.56,8542.88,12108.960000000001,8912.88
10,16185.32,18129.12,15730.039999999999,20331.12,15240.48,16059.880000000001,16247.48,8533.44,18179.28,16311.8,4109.38,20688.16,16021.26,6370.92,13997.88,16201.6,14036.86,8460.0,15538.78,15635.8,15362.48,15864.18,15549.7,16754.36,16393.48,8051.80000000001,15306.8,15384.159999999996,15540.18,16224.64,15016.600000000004,8511.84,8689.66,10301.800000000001,8291.44,8579.56,8767.52,8422.64,16352.24,8776.24
