index,358_1_www.spotify.com,358_2_www.spotify.com,358_3_www.spotify.com,358_4_www.spotify.com,358_5_www.spotify.com,358_6_www.spotify.com,358_7_www.spotify.com,358_8_www.spotify.com,358_9_www.spotify.com,358_10_www.spotify.com,359_1_www.spotify.com,359_2_www.spotify.com,359_3_www.spotify.com,359_4_www.spotify.com,359_5_www.spotify.com,359_6_www.spotify.com,359_7_www.spotify.com,359_8_www.spotify.com,359_9_www.spotify.com,359_10_www.spotify.com,360_1_www.spotify.com,360_2_www.spotify.com,360_3_www.spotify.com,360_4_www.spotify.com,360_5_www.spotify.com,360_6_www.spotify.com,360_7_www.spotify.com,360_8_www.spotify.com,360_9_www.spotify.com,360_10_www.spotify.com,361_1_www.spotify.com,361_2_www.spotify.com,361_3_www.spotify.com,361_4_www.spotify.com,361_5_www.spotify.com,361_6_www.spotify.com,361_7_www.spotify.com,361_8_www.spotify.com,361_9_www.spotify.com,361_10_www.spotify.com
1,67.0,-442.0,-442.0,-2192.0,-442.0,-442.0,-2192.0,29.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-2192.0,67.0,-442.0,-235.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,7129.88,6209.16,8411.460000000001,6574.919999999995,10399.9,6647.399999999998,5534.48,6306.78,8490.46,8300.099999999999,8376.44,6982.44,8356.66,8260.68,8440.68,8235.400000000001,8355.38,8295.6,8416.28,8519.88,8494.72,6236.84,8429.800000000001,8477.24,6100.34,6413.78,6131.86,6321.919999999999,5449.32,8120.92,8227.880000000001,6331.88,8323.48,8362.36,6277.16,6598.74,6622.600000000003,6120.18,8907.760000000007,6068.959999999999
3,29122.44,15059.800000000001,34344.36,33589.32,19760.800000000003,17861.799999999996,34604.76,35963.36,35643.16,34212.6,22820.96,23921.24,22900.92,21778.12,22966.96,23166.2,24485.56,22575.600000000002,22173.48,23317.679999999997,45097.64,45542.08,44927.4,46039.36,45198.520000000004,44635.520000000004,45356.24,45626.159999999996,45019.48,16248.520000000002,43919.36,45330.56,45791.68,27739.04,45402.56,31491.68,38097.4,45504.88,17741.8,39373.12000000005
4,36812.64,37203.22,42548.38,38984.94,46834.800000000025,44060.72,34922.759999999966,38102.340000000004,40537.46,41560.60000000002,29806.279999999995,27547.64,29911.98,27284.04,25527.599999999995,28231.6,32533.34,32262.2,32296.36000000002,27652.74,49479.159999999996,47248.88,49575.999999999985,48076.72,45344.840000000004,46130.54,45317.31999999999,45737.759999999995,45095.840000000004,49633.88,51696.12,48022.56,50314.44,39053.32,48150.92000000001,41448.87999999998,48069.299999999996,50047.54,51126.96000000001,42896.36
5,61687.8,45853.96,61817.000000000015,51236.79999999999,52135.399999999994,49710.84,49805.68,51141.48,56124.000000000015,54726.799999999996,41518.840000000004,40722.08,39381.56,40912.000000000015,39253.799999999996,38238.99999999998,46844.04,43422.99999999999,44028.08,41285.280000000006,58947.92,61413.36,62900.200000000004,56837.56,60833.84,56567.12,59060.44,55876.16,56893.48,60894.16,67560.44,64892.8,56882.59999999998,55548.840000000004,54824.56,55718.96,57233.399999999994,56134.88,60091.68,55118.479999999996
6,104592.99999999999,59856.5,131006.29999999999,88064.59999999995,123865.0,57418.2,126664.39999999994,108068.5,82269.2,133844.0,120503.20000000006,88557.4,104101.5,116616.20000000013,96068.59999999999,100826.0,66552.5,130973.0,63212.200000000004,121881.90000000001,113945.0,90346.79999999999,107753.5,121352.0,108301.5,80146.5,105176.9,79811.0,79386.0,67011.00000000001,96936.99999999999,95247.99999999999,87123.59999999999,95309.2,76664.20000000001,70554.49999999997,121004.0,79156.00000000016,70583.00000000004,75233.0
7,164034.47999999998,102301.2,216400.19999999995,258840.3199999996,238418.00000000006,141328.2,201346.63999999984,178091.20000000004,211701.36000000007,267635.00000000023,205575.52,183831.96,204473.08,176900.60000000015,192758.4,194559.6,159598.75999999995,199743.6,170392.96000000014,188479.16,158408.59999999998,130767.47999999997,205092.99999999997,242429.91999999995,170757.75999999998,184592.96000000014,156502.4,161144.63999999998,156302.76000000004,113251.40000000001,249750.44,147846.15999999995,148731.19999999995,177261.6,122553.72000000006,129646.55999999995,139794.4,140695.24000000002,94807.68000000001,116604.24000000005
8,242755.39999999994,226149.3,289118.88,288974.74,293481.1,236667.83999999985,283970.36,288014.32,289817.04,292168.1,216614.39999999997,200892.72,215849.6,213180.04,231176.52,212047.4,220734.0,212072.99999999997,239934.84000000003,204434.69999999998,247761.24,250021.04,232172.9,278529.68,263566.78,275873.24,265658.08,273270.32,222371.80000000002,205566.00000000017,274611.16,216132.4,250470.16,220170.44,224560.08,217301.56,250751.8,249820.58,218185.24000000017,249325.56
9,268425.76,285275.08,316985.96,325093.4799999998,321152.2,298893.08,310303.0,295500.6,308454.2,316514.2,258393.64,211036.56,230774.04,293110.6800000001,273649.43999999994,268964.0,315986.32,307813.19999999995,270262.96,214807.4,279276.84,281521.68,277915.39999999997,303435.64,270857.00000000006,292289.16,270844.88,283045.4,280355.44,272831.92,299599.0,264150.04,277860.1199999999,260596.0,283492.32,225235.52,280801.80000000005,255433.44,259937.64,277291.76
10,297303.32,309750.0,400648.20000000007,354396.82,433358.3,316368.6,386183.83999999997,337776.04,347242.02,406648.8,350426.12,242573.12,303282.28,374153.44000000024,402138.36000000004,342689.2,415952.0,408105.0,343643.64,330447.26,300433.2,301388.43999999994,290798.1,414220.12,316094.56,321233.82,295813.82,303970.80000000005,291767.6,281801.24,362896.87999999995,285281.60000000003,318019.12,271000.4,294491.28,249764.09999999995,302087.00000000006,285942.62,302925.0,295407.76
