index,234_1_www.unicef.org,234_2_www.unicef.org,234_3_www.unicef.org,234_4_www.unicef.org,234_5_www.unicef.org,234_6_www.unicef.org,234_7_www.unicef.org,234_8_www.unicef.org,234_9_www.unicef.org,234_10_www.unicef.org,235_1_www.unicef.org,235_2_www.unicef.org,235_3_www.unicef.org,235_4_www.unicef.org,235_5_www.unicef.org,235_6_www.unicef.org,235_7_www.unicef.org,235_8_www.unicef.org,235_9_www.unicef.org,235_10_www.unicef.org,236_1_www.unicef.org,236_2_www.unicef.org,236_3_www.unicef.org,236_4_www.unicef.org,236_5_www.unicef.org,236_6_www.unicef.org,236_7_www.unicef.org,236_8_www.unicef.org,236_9_www.unicef.org,236_10_www.unicef.org,237_1_www.unicef.org,237_2_www.unicef.org,237_3_www.unicef.org,237_4_www.unicef.org,237_5_www.unicef.org,237_6_www.unicef.org,237_7_www.unicef.org,237_8_www.unicef.org,237_9_www.unicef.org,237_10_www.unicef.org
11,1122844.6,1144130.2,1175347.3999999997,1129466.8,1106537.0,1122508.0,1122431.6,1188186.5999999999,883725.0,1123032.0,534270.5999999999,1029064.8,1042366.0000000001,1075591.2,472861.2000000001,554155.9999999999,975124.2000000001,506718.0,1040160.6,1073265.0,773239.2,1038353.0,831001.0,927456.6,1042436.0000000005,1021868.0,778956.0,816225.2000000009,855204.6000000001,827217.0,1051853.0,1292203.4000000001,1103007.0,1157433.0,1049603.0,1170504.9999999998,1072106.2000000007,1209155.7999999993,1039742.0,1036631.2
12,1183341.48,1296066.48,1310968.72,1157670.36,1129633.7999999996,1205288.5,1215043.2000000007,1369787.76,1092969.1,1220397.0,607886.2,1194760.68,1209011.52,1158403.66,563009.92,597191.6,1049968.32,617890.3999999999,1139544.02,1238245.8800000001,854345.38,1179185.0,1004406.6,1005209.88,1104709.46,1075116.9,859943.4000000001,1003970.92,1005404.64,1002844.16,1230518.8,1320179.52,1231075.1,1245206.9600000002,1221189.0,1234934.76,1223245.4000000001,1249928.92,1061867.48,1142958.88
13,1332658.0399999998,1359813.7999999998,1375348.5599999998,1335683.8000000003,1228629.7999999998,1356128.0,1369364.52,1409770.16,1132246.0,1372878.0,650138.76,1232820.28,1235614.6,1319725.4,662556.8,627289.8,1223340.12,654877.0,1233758.32,1259869.2,976339.8399999997,1286364.6,1023586.6,1059947.4,1172027.76,1083707.0,1013920.4,1024048.4,1060334.0,1030673.6,1289387.2000000002,1424435.5200000003,1313389.8,1324352.8800000001,1284654.0,1323814.6,1306490.32,1328442.68,1200570.4400000002,1231073.04
14,1393288.4,1408484.1799999997,1416107.399999999,1398275.3,1378865.0,1389452.0,1433117.48,1449838.32,1214271.5000000002,1437268.5,769369.84,1309477.32,1311306.96,1422094.4800000002,727343.7999999999,680686.6799999998,1284410.5999999999,777115.5999999999,1317979.34,1362929.64,1014270.2000000001,1319979.6,1148290.8,1154900.04,1294618.18,1110785.8,1067677.0,1144071.22,1145836.4,1108009.44,1353800.0,1462099.34,1364194.4,1419069.64,1317343.0,1379691.4000000001,1321974.8,1445579.18,1265356.2,1307941.8399999992
15,1443008.12,1557389.4799999995,1593001.32,1452647.68,1440797.8,1449845.0,1445698.16,1459151.6400000001,1340422.5999999999,1582300.0,944942.68,1390886.4,1396766.5600000008,1451419.0799999998,868811.12,791439.88,1324867.88,922767.8,1407419.4000000004,1436174.96,1071587.28,1361357.6,1211356.8,1165350.32,1306533.68,1158892.0,1162376.6,1177029.4,1162166.64,1158446.8,1453642.0000000005,1476221.28,1434724.3999999997,1458864.68,1398662.0,1497322.7999999998,1451614.8,1535361.16,1371967.9200000004,1364142.04
16,1449273.8,1600139.7,1600382.0,1464065.0,1594476.0,1594678.0,1457987.8,1465855.4,1392187.0,1601057.5,1034298.0,1548000.6000000003,1451690.8,1476185.7,1029805.4,1027991.6,1365744.6,1031858.0,1571296.9,1464470.1,1084760.1,1369676.0,1279650.5,1267132.6,1333590.8,1341669.0,1285069.0,1278261.4,1175608.8,1167883.5999999999,1462281.0,1518892.8,1464137.5,1470409.2,1457581.0,1576010.7999999998,1460687.7,1571223.2,1457390.6,1456611.7999999998
17,1459805.7999999998,1610454.72,1615154.08,1503655.52,1601381.6,1605773.0,1493328.84,1497774.96,1458964.4000000001,1611542.0,1100258.6,1570072.24,1558943.16,1495469.4,1042506.48,1040331.28,1499886.88,1042805.2,1580771.84,1498949.6400000001,1092955.4,1400956.6,1286463.8,1293137.32,1376484.16,1393320.4,1295641.2,1293028.76,1215360.36,1177201.92,1473856.2000000002,1555674.28,1586022.4,1508889.72,1468578.0,1587893.28,1469630.12,1584161.36,1467301.92,1465109.84
18,1493488.52,1620689.44,1634570.88,1515465.58,1610156.2,1618840.0,1503895.44,1583757.5599999998,1601691.6,1650826.5,1223690.88,1598160.64,1581090.4800000002,1567552.9200000004,1154620.72,1063112.1599999992,1575111.48,1123459.4,1610153.08,1593527.18,1116795.3,1425556.6,1327350.3,1302953.4,1384386.34,1423013.2,1301714.4000000001,1320388.64,1280404.8,1190073.72,1512492.6,1675011.34,1593569.3,1600576.14,1497057.0,1625870.84,1499549.12,1610565.2,1590598.48,1585095.16
19,1501212.96,1659007.64,1700287.1599999985,1664682.0,1642229.8,1648719.0,1542893.64,1695748.519999999,1609541.6,1710272.0,1233629.96,1620194.88,1591688.64,1683085.92,1223355.6400000001,1210553.44,1587551.04,1230204.5999999999,1633214.48,1603812.92,1124934.32,1470797.2,1388803.2,1335665.84,1432118.48,1560962.4,1358959.8,1369019.0,1369766.32,1243347.72,1573415.6,1687273.56,1622572.5999999999,1688177.96,1542033.0,1666738.1199999999,1567816.64,1687301.64,1602555.36,1595669.76
20,1699784.04,1715830.04,1718975.64,1719620.78,1671583.6,1709699.5,1695579.9600000002,1721621.28,1618292.1,1715158.5,1310416.04,1679128.28,1627994.2000000002,1690490.02,1251629.12,1234521.32,1626403.44,1233903.2,1691142.14,1627942.24,1219335.8999999997,1563886.9999999995,1395129.1,1377636.3600000003,1457375.34,1571343.9000000001,1369733.2,1394244.9,1393835.24,1362459.36,1606701.8000000007,1736007.96,1676001.7,1695784.46,1578829.0,1692911.0,1576274.0800000003,1693688.34,1626081.64,1623952.92
21,1728076.5999999999,1725781.0,1725081.8,1731076.4,1710721.0,1714623.0,1719787.8,1730127.8,1648932.0,1727150.0,1358973.4,1687745.6,1671833.4,1716276.200000001,1308997.2,1271090.1999999997,1664968.2,1314403.0,1699651.8,1633456.8,1344100.6,1691055.0,1410641.0,1387372.8,1580538.6000000003,1598452.0,1373963.0,1398540.8,1398048.5999999999,1370077.0,1697407.0,1834730.4,1685157.0,1725583.8,1636295.0,1701173.6,1694875.8,1699458.4,1635935.8,1642946.2
22,1733598.8,1737757.52,1734324.04,1735637.02,1723641.8,1724396.5,1734049.56,1740378.5599999998,1712913.8000000005,1799057.0,1417928.1600000001,1691582.4,1695838.96,1766187.9200000002,1351397.56,1317855.5999999999,1690571.84,1323391.0,1719768.4400000002,1664586.02,1368190.92,1864218.7999999998,1428364.7,1412390.44,1739840.9000000001,1621801.7,1424739.8,1440842.18,1454641.2400000012,1395131.4000000001,1726902.4,1908280.8800000004,1719896.9,1796575.02,1704451.0,1728100.88,1700339.26,1714694.06,1652125.24,1681413.52
23,1739254.24,1742132.24,1854848.08,1743434.64,1728175.6,1845721.0,1740195.16,1857290.08,1724997.6,1856694.0,1460689.72,1723117.52,1706076.92,1846516.84,1376848.2,1366065.4,1698546.32,1365168.6,1845447.92,1687902.12,1372619.4000000001,1877722.4,1503172.8,1479376.04,1886990.16,1768108.8000000007,1462159.4,1567132.28,1569539.12,1456062.76,1848923.0,2100037.64,1925024.2000000007,1923083.9600000007,1730893.0,1821160.8800000001,1729982.56,1808155.2799999998,1684323.04,1711993.08
24,1862417.12,1820026.82,1860622.48,1865010.44,1797881.6,1852732.5,1761698.680000001,1861720.32,1735521.7,1857130.5,1570132.8399999999,1843196.08,1826295.32,1989974.06,1452809.5200000003,1454454.8800000001,1726405.1600000001,1453908.4,1872220.0000000002,1825949.3800000001,1403997.56,1881180.3999999997,1571643.3,1642706.4400000002,1970500.1,1867820.6,1544008.0,1576052.44,1578427.56,1466712.24,1968043.6,2111375.84,2063211.2,2049648.3400000003,1853002.0,1927454.2799999998,1848989.34,1918186.04,1757301.4000000015,1908252.4
25,1890154.1199999994,1868754.52,1979329.36,1983482.04,1856999.4,1854776.0,1860676.68,1972277.7999999998,1742291.8,1978016.0,1575918.16,1886315.56,1964069.84,2086049.64,1458300.0,1458630.92,1833047.24,1459186.6,1988895.96,1959080.04,1421415.68,1893773.2,1623897.0000000007,1733414.5600000012,1981513.36,1881453.8,1674960.8000000003,1695460.1600000006,1607003.52,1551794.0000000002,2090091.4,2124634.16,2074791.4,2095616.28,1921255.0,2063277.3599999996,1960106.7200000002,1980588.32,1953079.04,2067282.52
26,1989318.0,1988458.5,1987663.0,1986793.0,1857330.0,1971451.5,1869950.0,1995158.0,1754952.5,1984190.5,1582249.0,1968749.0,2088864.0,2096598.5,1470934.0,1461759.0,1865636.0,1462817.0,2091765.0,2093090.0,1441567.0,1978232.0,1734418.5,1853725.0000000002,1995260.0,1952844.0,1743299.0,1733207.5,1739556.0,1738312.0,2097656.0000000005,2128453.0,2101953.5,2107692.0,2087996.0,2098164.0,2084512.0,2103126.5,2072480.0,2093071.0
27,1992779.08,1994628.84,1993517.32,2000686.04,1865847.4,1977859.0,1990380.96,2003229.76,1867889.2,2000837.0,1590232.12,2091117.28,2097648.28,2101087.64,1584138.96,1508278.2399999988,1993110.639999999,1471276.4000000001,2100885.36,2105763.84,1492099.0,1974905.8,1858277.4,1864065.88,2007751.16,1959689.2000000002,1860718.6,1856829.92,1840242.68,1754585.9600000007,2109558.2,2132995.08,2110825.2,2117318.72,2100116.0,2110702.64,2094094.16,2113672.5999999996,2098483.76,2102447.32
28,1999748.52,2000707.46,1998317.24,2002867.84,1960083.5999999996,1985454.5,1999630.36,2009929.7999999998,1989147.1,1999142.5,1598697.52,2098901.44,2109177.52,2113401.66,1588317.56,1587278.84,2096374.88,1475321.4,2111426.42,2115101.58,1512316.44,1998862.2,1860674.7,1873850.24,2013550.56,1972682.3,1871763.4,1871251.82,1869278.6400000001,1858909.36,2117241.0,2154661.9,2119141.7,2118778.74,2107433.0,2117365.56,2104818.94,2117069.86,2108215.48,2111560.68
29,2016196.32,2018214.48,2009941.92,2014518.28,1990327.2,1999473.0,2011580.24,2019306.48,1990629.6,2012713.0,1605311.36,2105788.88,2108413.08,2123861.44,1595201.8,1592158.64,2102250.1199999996,1481319.8,2115314.6799999997,2128922.08,1629152.12,2010574.6,1870699.2,1877920.52,2018803.4,1976743.4,1877929.3999999997,1876643.24,1877450.72,1874965.04,2118567.4,2163280.52,2126627.2,2129592.12,2119758.0,2129535.5599999996,2113751.24,2128388.7199999997,2115241.72,2119524.36
30,2016322.36,2016997.6400000001,2025519.44,2028206.12,1999619.8,2007236.5,2014612.96,2030875.8,1997098.6,2028184.0,1610861.48,2109467.56,2118401.64,2123471.1799999997,1604667.04,1596025.28,2110633.36,1501676.2,2121346.1999999997,2127359.84,1746259.12,2020111.2000000002,1882335.0000000007,1892589.48,2044618.94,1990710.0000000005,1882538.0000000005,1891627.26,1879822.36,1881460.6,2125046.8,2171930.4,2124040.9,2135191.44,2121084.0,2149098.88,2119371.92,2135134.18,2122992.64,2126866.48
31,2026443.8,2030836.6,2025401.4,2035272.6,2010391.0,2013138.0,2017643.2000000002,2037180.8,2012417.0,2028261.0,1635590.4,2115767.2,2128762.2,2137868.8,1640249.6,1612769.4,2113423.8,1557071.0,2125982.8,2143972.2,1869033.7999999996,2040890.0,1957464.0,1971925.2,2046844.0,2001570.0,1966501.0,1932101.6,1887490.2,1910738.6000000024,2139064.0,2197753.2,2142735.0,2147112.2,2130093.0,2151560.4,2123515.6,2140574.9999999995,2129254.8,2125087.4
32,2044487.3599999999,2043233.34,2034092.32,2040038.68,2008686.0,2021409.0,2035188.04,2044361.96,2012420.7,2039170.0,1640090.56,2128469.52,2129818.28,2145437.42,1642794.64,1625532.36,2118495.68,1624500.8,2136140.66,2161409.76,1875801.68,2047389.0,1965998.9,1977629.48,2050316.04,1999907.8,1973184.2,1971685.38,1898722.6000000003,1966672.44,2141217.2,2206133.3,2152760.9,2152416.68,2141018.0,2156978.32,2129753.54,2143742.42,2132477.4000000004,2137837.04
33,2041554.3200000003,2040538.3600000003,2039604.52,2047993.72,2023423.2,2025901.0,2036810.96,2055477.9199999997,2025308.0,2049353.0,1646409.64,2136613.96,2144573.84,2160190.64,1645992.04,1655492.24,2128908.08,1628240.2,2148694.28,2163857.12,1883053.6,2049482.4,1968427.6,1994001.84,2053195.2000000002,2001960.4,1987262.6,1971555.88,1974644.5999999999,1976739.88,2152603.0,2211225.12,2160460.8,2162392.12,2141463.0,2166327.92,2135911.24,2161456.76,2143316.72,2148904.36
34,2053088.4,2057663.22,2047026.12,2054731.84,2028280.2,2039842.5,2047942.64,2061588.96,2035976.8,2055335.5,1667490.7599999998,2148648.32,2149115.52,2168750.36,1647864.36,1661943.08,2130532.96,1658243.6,2151996.12,2173919.68,1886084.82,2065405.9999999998,1978652.7,1992003.44,2066164.06,2016722.3000000005,1992336.4,1984136.02,1988662.68,1976908.3200000003,2158349.0,2212023.14,2162890.4,2167729.46,2157656.0,2178099.64,2148500.26,2164599.84,2144805.68,2150839.04
35,2061832.28,2060831.2799999998,2048861.08,2061836.32,2033177.1999999997,2046850.0,2048995.1199999999,2066820.44,2041137.2,2062895.0,1693236.4800000002,2150704.1999999997,2159954.2399999998,2171538.72,1675685.36,1670227.16,2135942.04,1667613.2,2164148.32,2181328.36,1893265.68,2087830.9999999995,1985993.0000000002,2009564.92,2073025.1199999999,2033599.4,1995916.4,1993557.52,1993799.16,1985906.96,2164454.6,2224357.56,2176443.0,2173407.48,2161526.0,2190107.8,2152177.6,2171308.12,2156834.04,2156111.44
36,2069511.6,2070426.6,2060454.2,2075429.8,2051977.0,2048578.5,2063154.4000000004,2073727.6,2050529.0,2072176.5,1837630.4,2162715.4,2168638.2,2181464.8,1679799.6,1684287.8,2149343.4,1680348.0,2169197.4,2191231.8,1965943.3,2098851.0,1995546.0,2013438.2,2097004.8,2049408.0,2005086.0,1999551.9,2002747.6,1997239.0,2177955.0,2229420.8000000003,2185472.5,2194171.6,2167845.0,2195482.2,2156856.3,2185330.4,2164902.0,2170065.4
37,2072666.84,2073699.6,2067862.16,2087635.56,2056670.2000000002,2059727.0,2072814.64,2084960.76,2053419.6,2091512.0,1933395.48,2167276.84,2171891.2399999998,2195096.28,1691003.12,1781233.9599999974,2153203.6,1686832.8,2181551.04,2198735.16,1986533.92,2112465.0,2001516.0000000002,2018216.76,2105181.96,2052117.4,2010858.2,2007420.8800000001,2006896.4,2004361.88,2187445.6,2246503.2399999998,2191504.2,2197658.92,2179169.0,2197343.72,2173108.24,2194122.92,2172365.56,2179122.28
38,2087795.04,2088503.2,2080796.92,2096467.36,2065239.6,2064852.5,2077598.8,2085381.08,2058993.6,2099445.5,1980331.72,2182032.36,2185666.24,2206504.3,1774626.1600000001,1840094.56,2164643.48,1812582.3999999997,2186983.6,2209684.58,1988079.54,2129568.8,2006360.3,2019411.44,2110380.82,2062980.4,2010853.4,2007354.04,2012927.12,2009493.04,2199859.4,2251505.3,2204243.4,2206838.64,2187868.0,2202943.36,2181981.18,2205258.92,2176095.72,2188925.1199999996
39,2105678.92,2105855.04,2087724.08,2095925.36,2066240.8,2073839.0,2088284.560000001,2092737.64,2066421.4,2102589.0,2095637.92,2188978.48,2194278.36,2219317.440000001,1874660.24,1976691.28,2164445.92,1859814.8,2209705.4,2218631.52,1989437.36,2142520.6,2022645.2,2019017.56,2121513.08,2075088.4,2023900.6,2008828.36,2012118.12,2008212.04,2214766.6,2264096.48,2220918.2,2225737.04,2197562.0,2201420.64,2190781.2000000007,2212026.84,2187688.8,2196902.52
40,2112416.56,2104365.8799999994,2087932.24,2104522.22,2077387.6,2073445.0,2099059.36,2113907.9599999995,2073306.3,2101535.5,2098190.8,2200316.92,2201345.04,2234777.72,1959266.56,2002457.0799999987,2176764.1999999997,1979133.8,2216370.04,2216882.44,1989569.2799999998,2168433.8,2022488.4,2022190.4000000004,2128525.74,2103232.7,2051493.4,2013085.6000000003,2022043.76,2016439.6000000003,2218369.8,2273917.7399999998,2233742.1,2228089.08,2211576.0,2207622.88,2197986.28,2224612.78,2197166.88,2214322.32
41,2111550.4,2106097.2,2085281.4,2114833.2,2087394.0,2072916.0,2100617.4,2127452.2,2088144.0,2124389.0,2106846.6,2207528.0,2210940.6,2246298.6,2088491.0000000005,2098395.1999999997,2188000.6,1986111.0,2217729.4,2226511.4,2015734.0,2185034.0,2026503.0,2045545.2,2139715.4,2120927.0,2057344.0,2045633.4000000006,2034360.0000000002,2026469.7999999998,2221930.0,2283347.8,2237897.0,2231109.6,2222171.0,2217371.8,2215426.8,2233089.9999999995,2207604.0,2226112.6
42,2111907.8,2105746.92,2102788.68,2137020.54,2085304.4,2080932.5,2104163.28,2128208.16,2085709.8,2140172.0,2116361.56,2228997.56,2228153.96,2254922.32,2100749.28,2107559.08,2196385.72,2103407.8,2217872.46,2236049.3800000004,2027431.28,2194623.1999999997,2048154.0000000002,2061992.92,2152802.18,2130464.3000000003,2064245.2,2058831.06,2063025.36,2043770.48,2229517.2,2294057.9200000004,2242389.1,2234481.34,2223449.0,2240925.2,2227178.4000000004,2252359.68,2212377.04,2238139.24
43,2127046.36,2123410.44,2123347.3999999994,2139950.68,2083767.5999999999,2093970.0,2117004.92,2142646.96,2088188.7999999998,2139710.0,2122331.08,2237460.68,2240829.28,2255705.88,2108481.36,2112892.36,2204612.28,2106832.6,2234486.64,2258813.64,2038313.2,2206430.4,2064738.6,2078236.9200000004,2161728.72,2133385.6,2084934.6,2063594.04,2069393.6000000003,2060004.000000001,2254403.2,2303818.56,2250566.2,2245773.8,2233979.0,2259250.68,2235865.0,2249664.16,2214919.0,2236879.04
44,2144272.92,2139089.18,2139539.759999999,2148351.64,2088471.8,2115973.5,2129063.36,2148615.4,2096804.3,2147791.5,2124448.88,2244463.72,2250969.12,2252947.2600000002,2114969.16,2115556.84,2221284.92,2107323.4,2244033.98,2271560.2600000002,2040565.86,2212655.4,2076001.4,2078758.24,2170372.9,2150809.9,2102711.0,2066338.42,2077359.76,2068371.24,2272395.8,2314122.2,2265468.9,2261112.56,2264863.0,2267884.36,2241982.36,2249350.54,2233104.32,2237865.84
45,2149929.12,2149196.8,2144653.68,2159353.2,2103066.6,2120226.0,2137981.2,2157009.88,2114530.4,2156602.0,2127768.64,2243824.24,2249274.04,2269142.8,2121898.32,2124490.08,2220553.76,2111167.8,2249480.12,2280301.96,2037367.04,2222311.9999999995,2079191.2,2084406.04,2180732.04,2159693.6,2103794.8,2075275.72,2092230.92,2085626.36,2284105.4,2323944.88,2277452.4,2262346.12,2273999.0,2276439.5999999996,2243512.88,2256297.48,2240208.04,2240758.48
46,2155700.2,2153730.6999999997,2150371.2,2162872.2,2115776.0,2127526.5,2140578.4,2167379.8,2122997.0,2168726.5,2134402.2,2245790.8,2252067.8,2283563.2,2127182.2,2131875.4,2223365.6,2116161.0,2264694.3,2288170.4,2042552.9000000001,2235153.0,2089905.0,2088915.6,2192312.8,2167946.0,2110463.0,2083177.9,2097828.2,2081705.8,2292911.0,2335154.6,2282818.5,2274479.9,2284649.0,2289775.0,2244087.9,2272314.8,2253161.4,2247107.4
47,2160050.68,2163289.36,2160327.96,2169833.88,2134601.8,2133452.0,2146949.16,2173602.76,2132608.8,2173738.0,2131546.76,2247582.28,2254503.56,2284893.2800000003,2125772.5199999996,2136729.88,2235080.96,2120375.5999999996,2271996.92,2302722.24,2061918.48,2245008.6,2105898.0,2104037.24,2207198.28,2174873.2,2123550.0,2089030.24,2108870.4000000004,2090949.1200000003,2298596.0,2344587.84,2297340.4,2282632.8000000003,2293186.0,2298127.8,2254097.2,2283237.16,2257204.08,2263146.8
48,2167445.52,2171571.2,2170185.8,2180763.98,2141241.0,2148096.0,2158149.36,2193917.64,2138380.9,2184794.0,2136375.32,2264670.68,2267119.28,2292538.54,2128299.56,2135856.56,2252017.5999999996,2129297.8,2282362.16,2313435.46,2060039.78,2257037.4,2109870.8,2108925.8,2211947.46,2186549.3,2127957.8,2092590.9,2118034.3200000003,2101197.64,2306544.8,2354363.74,2308170.1,2289010.66,2303515.0,2307867.4,2263188.42,2295475.1,2262105.28,2270017.36
49,2173860.64,2177978.04,2175239.7600000002,2210608.76,2147596.1999999997,2152416.0,2167525.96,2211901.64,2146927.8,2207434.0,2140462.16,2265350.8,2279121.04,2306823.48,2135774.04,2141395.2399999998,2263683.24,2123348.6,2291940.52,2314006.7199999997,2081490.52,2259923.4,2118341.0000000005,2116728.96,2220144.32,2199431.8,2135566.0,2105303.4,2123824.28,2116901.32,2315029.6,2361707.0,2321307.8,2306298.56,2311927.0,2316124.6799999997,2269800.84,2308432.12,2272435.44,2284961.64
50,2183145.6399999997,2188595.2,2187578.24,2212097.72,2154064.5999999996,2163377.0,2170458.16,2213216.84,2154379.4,2221357.0,2140477.36,2275239.84,2288206.2,2324558.48,2137733.92,2138912.92,2265477.72,2125942.6,2309413.64,2327096.14,2087011.98,2267035.1999999997,2127009.4000000004,2126264.16,2222699.84,2205998.4,2142698.6,2113041.82,2132384.68,2120795.64,2329081.2,2365047.12,2331271.6,2323785.72,2335451.0,2336724.72,2277413.62,2319829.82,2282657.0,2295449.2399999998
51,700,688,685,728,637,678,679,730,637,729,452,738,723,796,426,449,702,441,775,764,658,955,736,742,922,878,757,729,735,728,758,908,774,780,756,778,737,777,725,733
52,972,943,923,1011,883,947,933,1028,928,996,706,1014,1019,1105,688,705,970,669,1082,1059,903,1285,1019,1002,1195,1157,1053,992,1027,1018,1052,1211,1081,1059,1094,1058,1014,1072,1003,1023
