,26_1_www.ebay.com,26_2_www.ebay.com,26_3_www.ebay.com,26_4_www.ebay.com,26_5_www.ebay.com,26_6_www.ebay.com,26_7_www.ebay.com,26_8_www.ebay.com,26_9_www.ebay.com,26_10_www.ebay.com,27_1_www.ebay.com,27_2_www.ebay.com,27_4_www.ebay.com,27_5_www.ebay.com,27_6_www.ebay.com,27_7_www.ebay.com,27_8_www.ebay.com,27_9_www.ebay.com,27_10_www.ebay.com,28_1_www.ebay.com,28_2_www.ebay.com,28_3_www.ebay.com,28_4_www.ebay.com,28_5_www.ebay.com,28_6_www.ebay.com,28_7_www.ebay.com,28_8_www.ebay.com,28_9_www.ebay.com,28_10_www.ebay.com,29_2_www.ebay.com,29_3_www.ebay.com,29_4_www.ebay.com,29_5_www.ebay.com,29_6_www.ebay.com,29_7_www.ebay.com,29_8_www.ebay.com,29_9_www.ebay.com,29_10_www.ebay.com
0,-442.0,67.0,67.0,67.0,67.0,67.0,0.0,67.0,0.0,67.0,-48.0,67.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,-442.0,-442.0,67.0,67.0,67.0,-48.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0
1,1147.88,1001.9,690.0,611.4000000000002,1211.88,2189.84,1045.92,2079.039999999999,1023.48,744.5999999999998,804.04,1205.2400000000002,303.39999999999975,1371.94,1396.24,2541.720000000004,2873.52,1748.5399999999993,1506.74,986.9600000000003,303.39999999999975,1688.2,741.6199999999999,4495.08,288.12000000000006,727.9000000000003,1304.8000000000015,840.5199999999976,654.06,102.04,-265.78,-496.12000000000006,-301.42,-303.4,-263.8,-301.42,-287.56,-214.28
2,2285.96,2958.2,1200.0,1236.2,3961.36,2895.72,2035.8400000000045,2832.52,2219.28,1589.4000000000005,2720.5999999999995,4591.96,6697.800000000001,4546.480000000001,4727.76,6933.440000000001,6102.04,4996.76,4857.32,4575.160000000002,6697.800000000001,3039.88,4498.52,8501.68,6779.24,4455.4000000000015,4996.000000000002,6884.760000000001,4469.76,198.72,642.96,1511.6,-564.8799999999999,-549.5999999999998,733.6000000000001,-564.8799999999999,-354.07999999999976,1573.7199999999998
3,6810.7199999999975,6023.7,5155.0,2420.8,7217.799999999997,7695.94,7833.76,7120.72,10461.12,5254.2,5714.719999999998,13208.08,13182.8,7987.24,10343.18,17671.24,8650.900000000003,8530.74,12067.66,11194.44,12603.6,4585.24,10303.86,18825.44,8699.399999999992,8008.100000000002,7071.299999999997,17679.16,7735.800000000004,99.66000000000004,1482.7,1552.42,1620.76,1625.2,1468.0,1620.76,1589.68,1580.52
4,7982.2,14457.0,9253.0,5845.4000000000015,20768.04,17834.36,18565.52,17962.52,13977.36,9180.4,9008.280000000002,19136.4,18487.000000000007,12151.480000000007,18073.52,37130.24,18874.8,13128.200000000004,18410.48,18657.159999999996,21438.8,6342.16,14091.0,28892.92,18681.12,21930.599999999988,11889.200000000004,34581.16,17263.8,-29.840000000000014,1409.48,2232.64,1399.4,1613.4,1415.8,1399.4,1339.96,2359.16
5,17808.399999999998,22570.5,18216.0,7059.0,26524.8,20959.3,23508.4,21626.3,19010.6,18131.0,18674.0,36518.6,32995.0,15262.999999999995,18828.1,35876.4,21594.800000000007,19477.8,20831.1,26805.99999999998,24751.0,12859.8,24598.4,31407.4,28457.4,26430.5,24869.5,33643.700000000004,35234.2,283.7999999999996,1170.3,1865.4,1407.9,1400.0,1136.0,1407.9,1463.2,2075.2000000000007
6,19055.96,31414.800000000007,21421.0,12086.8,40538.44,29496.720000000005,35984.88,27300.48,36102.48,25902.4,32651.24,35655.92,42514.8,25162.64,19038.44,43251.08,21926.88,22725.76,20851.56,30111.32,30059.2,14580.96,25483.279999999995,43915.12,31156.28,35219.8,30455.200000000055,36288.11999999999,38630.32,1813.76,975.24,3792.96,1300.64,1341.8000000000004,929.3999999999997,1300.64,1171.64,3922.76
7,20754.36,42596.8,27750.0,12142.4,47933.04,35430.039999999986,42072.36,32068.82,39768.76,26966.6,37509.04,40723.84,43852.2,29359.180000000004,24516.159999999974,51921.76,29288.52,30254.04,36645.3,37713.35999999999,35073.4,23613.27999999999,29642.98,51167.23999999997,36782.84,36517.3,28673.8,44045.66,38681.94,1568.38,1552.3600000000022,3747.98,1229.06,1215.1999999999996,569.4,1229.06,883.56,3870.88
8,24705.72,51427.599999999904,32955.0,14966.2,87676.04,48697.48,50155.36000000002,38264.52,76895.2,29387.4,39664.12,46949.03999999999,43644.8,33574.32,29951.48,54899.52,34216.44,37455.16000000002,42350.32,44682.83999999999,41033.8,29277.640000000007,38016.28,55585.36,44104.52,36374.2,38071.000000000015,50624.04,41544.56,1683.72,2857.24,4465.28,729.5200000000003,784.4000000000003,1133.4000000000008,729.5200000000003,557.52,4570.68
9,28995.08,86508.2,33852.0,18379.600000000028,92954.88,81117.46,90178.8,46645.34,86986.2,35393.999999999985,47833.56,50254.48,51546.8,41563.640000000014,36517.98,66548.95999999999,44738.87999999998,44095.48,47723.44000000001,49948.39999999997,46095.4,27722.0,42119.98,79314.32,49226.24,43608.8,47758.2,64495.199999999924,45407.38,1379.86,2573.58,4198.06,587.2199999999998,1869.5999999999995,4744.2,587.2199999999998,317.64000000000215,4074.52
