index,169_1_www.avira.com,169_2_www.avira.com,169_3_www.avira.com,169_4_www.avira.com,169_5_www.avira.com,169_6_www.avira.com,169_7_www.avira.com,169_8_www.avira.com,169_9_www.avira.com,169_10_www.avira.com,170_1_www.avira.com,170_2_www.avira.com,170_3_www.avira.com,170_4_www.avira.com,170_5_www.avira.com,170_6_www.avira.com,170_7_www.avira.com,170_8_www.avira.com,170_9_www.avira.com,170_10_www.avira.com,171_1_www.avira.com,171_2_www.avira.com,171_3_www.avira.com,171_4_www.avira.com,171_5_www.avira.com,171_6_www.avira.com,171_7_www.avira.com,171_8_www.avira.com,171_9_www.avira.com,171_10_www.avira.com,172_1_www.avira.com,172_2_www.avira.com,172_3_www.avira.com,172_4_www.avira.com,172_5_www.avira.com,172_6_www.avira.com,172_7_www.avira.com,172_8_www.avira.com,172_9_www.avira.com,172_10_www.avira.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1477.42,1431.6000000000001,1368.3999999999999,1418.96,1214.26,1472.68,1368.3999999999999,1447.3999999999999,1442.66,1381.04,1637.04,1512.1000000000001,1595.6,1549.3600000000001,1622.24,1625.2,1607.44,1617.8,1607.44,1504.04,1360.2,1453.3,1404.3,1423.9,1637.1,1355.3,1389.6000000000001,1468.0,1601.52,1566.0,1570.44,1747.6000000000001,1531.7,1374.8999999999999,1482.7,1441.08,1605.96,1419.0,1583.76,1321.0
3,3554.16,3670.2,4013.4,3772.92,4532.240000000001,3560.64,4013.4,3595.2,3601.68,3978.84,1486.28,1941.7999999999988,1462.2000000000003,1472.68,1522.68,1515.4,1559.0800000000002,1533.6,1559.0800000000002,1508.4,3794.5999999999995,2305.2,2961.6000000000004,3264.2000000000003,3917.000000000001,3835.4000000000005,3166.199999999999,2687.0000000000014,1548.4400000000005,1031.0,1095.6799999999996,1559.9999999999986,1610.5999999999985,3672.2000000000007,2438.5999999999995,3603.84,1562.72,3304.999999999999,1289.7200000000003,4121.0
4,4881.919999999999,4774.5999999999985,5441.2,5182.04,6250.48,5022.68,5297.999999999996,4963.2,4898.339999999999,5382.92,4110.68,3570.36,3948.6,3998.599999999999,4059.08,4069.4,4000.44,4043.6,4000.44,3937.4000000000005,4110.44,3774.6799999999994,4126.280000000001,3985.6400000000012,4100.9,4138.26,4160.52,3669.2000000000016,3974.52,3606.0,3663.7799999999997,3852.099999999998,3583.32,4119.98,3563.72,5186.44,3993.96,4020.7999999999984,3837.1200000000003,4191.0
5,8530.68,5849.400000000001,5083.399999999997,6371.96,8440.24,6396.72,4504.200000000001,6840.399999999997,6013.72,4177.6399999999985,3645.76,5509.32,4106.2,3560.64,4144.320000000001,4045.6000000000004,4097.72,4127.4,4097.72,3564.96,4826.4800000000005,5074.88,5020.36,4984.68,4915.799999999999,4555.08,5061.12,5297.2,5350.88,5306.0,5599.280000000001,5282.599999999999,5498.84,4964.16,5193.52,6362.279999999996,4093.48,5223.599999999999,4191.319999999999,4862.0
6,8100.900000000001,8168.0,8486.0,8347.800000000001,17520.799999999992,8145.6,8658.0,8300.0,8069.3,8410.800000000001,5441.8,7044.3,5319.0,5154.000000000001,5389.399999999999,5488.0,5080.8,5419.5,4823.8,4977.299999999999,6101.400000000001,4790.800000000002,6291.8,6696.099999999999,8632.0,8468.1,7690.599999999995,4251.0,4872.800000000001,4276.0,4732.899999999999,7033.5,4572.3,6201.4,4179.6,8510.6,5027.7,6541.0,4860.4000000000015,6195.0
7,16661.08000000001,17115.8,7730.600000000003,12960.039999999994,19805.04,17272.36,8115.599999999999,17179.2,15014.840000000006,7662.159999999999,4684.679999999999,7203.400000000001,5670.599999999995,4812.68,4532.56,4538.8,4289.5199999999995,4701.2,4032.52,4787.5199999999995,8035.16,8475.039999999999,8359.96,10117.72,8244.6,8247.64,8299.44,7274.400000000012,6631.919999999995,5952.0,6389.88,10299.2,8082.439999999991,8152.56,6272.6399999999985,14334.88,4180.68,8613.6,6382.56,8391.0
8,20225.64,18528.2,14040.199999999984,18858.56,22282.68,20268.44,17361.8,18683.8,18463.62,14854.12,6386.28,7695.46,6881.199999999991,5726.519999999998,6239.56,8738.4,6196.32,6305.9,5939.32,5338.279999999996,7358.680000000002,8317.42,7890.42,13103.34,8096.000000000009,9529.400000000007,7920.4400000000005,8557.800000000001,8448.56,8069.0,8520.859999999999,13399.300000000001,8373.42,7631.0599999999995,8333.58,18894.56,6144.38,8079.2,8517.32,9644.0
9,21916.36,21418.2,19295.6,19833.44,25378.520000000004,21495.44,18960.2,19190.6,19541.68,20038.92,6983.120000000001,10651.799999999996,8529.199999999999,6186.72,8520.92,8574.6,8269.08,8554.800000000001,8012.08,8290.08,17119.04,13605.88,17361.96,12140.36,17226.6,16909.84,17214.32,12322.200000000008,8342.56,7870.0,8180.320000000001,12205.400000000001,7806.399999999995,17092.76,10963.399999999998,21800.16,8218.72,14444.6,8439.880000000001,17020.0
10,22318.32,22107.6,20429.399999999998,21523.359999999997,40471.799999999996,22333.76,20505.399999999998,19836.200000000004,21592.06,21614.84,8324.44,13194.66,8476.999999999996,8221.56,8545.56,8542.800000000001,8025.36,8286.700000000003,7768.36,8136.34,18543.24,19150.64,18616.98,13849.38,18841.9,19705.260000000002,18645.92,18394.600000000002,8373.79999999999,17403.0,14633.22,16285.399999999996,12557.159999999996,18625.58,16984.960000000006,22396.52,7890.54,19077.8,11304.799999999992,20186.0
