index,366_1_www.deutschlandradio.de,366_2_www.deutschlandradio.de,366_3_www.deutschlandradio.de,366_4_www.deutschlandradio.de,366_5_www.deutschlandradio.de,366_6_www.deutschlandradio.de,366_7_www.deutschlandradio.de,366_8_www.deutschlandradio.de,366_9_www.deutschlandradio.de,366_10_www.deutschlandradio.de,367_1_www.deutschlandradio.de,367_2_www.deutschlandradio.de,367_3_www.deutschlandradio.de,367_4_www.deutschlandradio.de,367_5_www.deutschlandradio.de,367_6_www.deutschlandradio.de,367_7_www.deutschlandradio.de,367_8_www.deutschlandradio.de,367_9_www.deutschlandradio.de,367_10_www.deutschlandradio.de,368_1_www.deutschlandradio.de,368_2_www.deutschlandradio.de,368_3_www.deutschlandradio.de,368_4_www.deutschlandradio.de,368_5_www.deutschlandradio.de,368_6_www.deutschlandradio.de,368_7_www.deutschlandradio.de,368_8_www.deutschlandradio.de,368_9_www.deutschlandradio.de,368_10_www.deutschlandradio.de,369_1_www.deutschlandradio.de,369_2_www.deutschlandradio.de,369_3_www.deutschlandradio.de,369_4_www.deutschlandradio.de,369_5_www.deutschlandradio.de,369_6_www.deutschlandradio.de,369_7_www.deutschlandradio.de,369_8_www.deutschlandradio.de,369_9_www.deutschlandradio.de,369_10_www.deutschlandradio.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-114.0,-442.0,-442.0,-235.0,-442.0,-442.0,-442.0,-442.0,1539.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1371.56,1350.4,1330.48,1371.56,1443.5,1345.5,1333.64,1332.06,1362.08,1654.48,1626.68,1096.1599999999996,280.39999999999975,1141.4799999999996,1458.7199999999998,1640.0,1186.7999999999995,642.96,552.3199999999999,-545.96,1368.0799999999997,99.11999999999966,-202.8,778.9200000000003,-172.7999999999996,280.39999999999975,1322.7599999999998,-1220.6799999999998,-127.47999999999956,99.11999999999966,8.479999999999563,1586.72,-389.15999999999997,-419.72,-354.07999999999976,461.68000000000006,597.6400000000001,1616.32,-381.52,-488.48
3,4004.76,3876.2,4100.36,4004.76,2416.0,3917.000000000001,4093.48,4096.92,4030.6800000000003,4100.36,1511.76,1441.08,1384.2,1444.24,1466.36,1479.0,1447.3999999999999,1409.48,1403.16,1440.24,1460.04,1371.56,1480.0,1665.2,1352.6000000000001,1384.2,1456.8799999999999,641.52,1355.76,1371.56,1365.24,1332.8400000000001,1583.76,1571.92,1339.96,1396.84,1406.32,1537.24,1586.72,1497.3999999999999
4,5301.12,4135.08,4532.5199999999995,5259.479999999998,3860.5,4100.9,4483.68,4686.779999999997,4651.519999999999,4545.119999999999,4074.56,3386.5999999999995,1307.999999999999,3447.7999999999997,3876.2,4121.0,3508.9999999999986,2438.5999999999995,2190.2000000000007,4087.76,3753.8000000000006,1052.5600000000004,1415.4000000000008,2811.199999999999,1246.5999999999992,1444.9999999999986,3692.6,544.4799999999999,1214.26,1052.5600000000004,1117.24,3875.64,1411.06,1430.02,1375.9600000000003,1640.3999999999992,2314.4000000000024,4038.44,1406.32,1472.68
5,4161.080000000001,4662.64,4581.36,4212.080000000001,5342.0,4772.799999999999,4306.48,4754.92,6769.08,4325.52,3973.919999999999,3603.84,3970.2,3599.52,3569.28,3552.0,3595.2,3849.96,3901.32,4158.64,3577.92,4004.76,4074.4,3772.92,4052.2,3970.2,3582.2400000000002,3157.56,4045.3199999999997,4004.76,4022.04,5362.959999999999,1289.7200000000003,1117.24,4079.72,3935.64,3875.64,4123.16,1332.8400000000001,2190.2000000000007
6,8341.2,6185.599999999999,6106.400000000001,8392.2,5566.0,6059.5,5902.2,6315.3,6132.800000000002,6060.400000000001,5637.1,4895.199999999997,4138.0,4924.199999999999,5207.6,5524.0,5726.0,4126.6,4106.2,5189.299999999999,5539.6,3922.199999999999,4230.0,4240.500000000002,3552.0,4138.0,5448.7,2602.8,3613.7000000000007,3922.199999999999,3798.7999999999993,5059.800000000001,4018.9999999999986,4095.2,3573.6,4159.2,4100.9,5124.2,3916.999999999999,4013.4
7,7815.44,8352.12,8291.88,7866.44,8796.0,8061.6,8090.84,8502.36,8103.3200000000015,8254.52,4669.92,5038.44,5429.6,4977.32,4728.360000000001,4837.0,5115.4000000000015,5184.64,5597.839999999999,4368.24,4780.96,5484.88,5322.600000000001,5114.04,5309.8,5477.6,4725.12,3885.8399999999983,5278.48,5471.88,5441.52,7272.120000000001,3837.1200000000003,3683.04,4123.16,5140.32,5350.679999999999,4452.08,3875.64,3560.64
8,8821.599999999993,7546.800000000002,7080.239999999998,9557.599999999993,8448.5,7328.3,6788.52,7205.9000000000015,6529.2,6970.64,6505.22,4333.76,4843.4,4207.280000000001,4916.0399999999945,6477.0,5772.599999999995,6607.720000000004,4793.48,6300.34,6505.16,4771.68,7192.6,4425.66,4864.199999999999,4891.4,6418.52,4014.7599999999998,4786.719999999999,4758.68,4811.280000000001,8641.04,3938.76,4157.34,4067.08,4383.52,4539.459999999999,6035.96,3872.8399999999997,4811.52
9,16903.88,14242.199999999997,13938.2,16872.399999999994,7428.0,10697.000000000011,17077.6,17511.4,13766.799999999988,13021.32,8623.76,6019.32,4594.199999999998,5958.96,5965.44,6308.0,8649.6,6377.639999999999,6641.16,8379.960000000001,6438.6399999999985,5496.959999999997,6930.8,6303.96,6617.400000000001,4642.199999999998,6241.5199999999995,3310.279999999996,6609.24,5483.959999999997,4713.8399999999965,8544.16,4193.5999999999985,5329.76,3206.2799999999997,5784.44,6423.32,8225.32,5099.839999999999,5172.88
10,23498.64,17155.64,19107.76,23071.120000000003,14194.0,16609.100000000002,16595.28,16969.12,23914.36,24006.76,8629.42,8374.84,6127.4,8284.94,7977.12,8326.0,8464.8,8600.04,8645.72,7546.42,8359.68,6236.5199999999995,8693.2,7520.279999999996,6393.2,7487.599999999995,8248.460000000001,5134.36,6383.42,8148.079999999998,7287.319999999999,7438.4000000000015,5322.9400000000005,5149.86,2746.2800000000043,8111.28,6266.94,7888.6799999999985,4853.76,4617.32
