,206_1_www.justice.gov,206_2_www.justice.gov,206_3_www.justice.gov,206_4_www.justice.gov,206_5_www.justice.gov,206_6_www.justice.gov,206_7_www.justice.gov,206_9_www.justice.gov,207_1_www.justice.gov,207_2_www.justice.gov,207_3_www.justice.gov,207_4_www.justice.gov,207_5_www.justice.gov,207_6_www.justice.gov,207_7_www.justice.gov,207_8_www.justice.gov,207_9_www.justice.gov,207_10_www.justice.gov,208_1_www.justice.gov,208_2_www.justice.gov,208_3_www.justice.gov,208_4_www.justice.gov,208_5_www.justice.gov,208_6_www.justice.gov,208_7_www.justice.gov,208_8_www.justice.gov,208_9_www.justice.gov,208_10_www.justice.gov,209_1_www.justice.gov,209_2_www.justice.gov,209_3_www.justice.gov,209_4_www.justice.gov,209_5_www.justice.gov,209_6_www.justice.gov,209_7_www.justice.gov,209_8_www.justice.gov,209_9_www.justice.gov,209_10_www.justice.gov
20,114035.8,110662.0,110748.6,147450.4,145081.0,117024.8,114172.6,108611.0,107212.0,102588.19999999998,96628.4,103633.4,126741.5999999999,126331.6,101032.8,112649.6,103106.0,87613.4,138624.19999999995,96799.0,145663.6,125887.59999999992,117469.99999999994,110881.00000000004,159159.0,118566.8,111481.99999999996,112386.59999999998,146051.79999999993,113764.6,151094.8,104340.4,100718.0,142408.4,147984.00000000006,103795.6,137009.6,128017.2
21,153658.76,108739.04,116243.45999999995,156522.8399999999,148141.8,119212.74,130809.56,111496.04,110631.68,104673.92,99585.88,103777.60000000002,142663.24,145015.48,104910.88,150073.59999999998,104155.4,88159.23999999996,150334.72,104615.8,152560.96,152812.4,135035.36,112661.38,160616.2,116662.24,151949.19999999998,153599.28000000014,148616.52,147837.48,152556.52,104015.52,111333.0,155198.87999999998,155057.03999999998,108107.52,137668.32,150778.91999999998
22,154724.40000000005,109646.76,144847.6,162516.48,160910.80000000002,161846.08000000007,144957.51999999993,112286.32,110181.84,103270.76,106540.19999999998,104159.16,153781.75999999995,150476.44,123184.03999999985,151388.32,102547.0,97361.44,154250.4,111803.4,161560.56,156256.92,178320.80000000008,142649.08000000002,178514.2,152671.12,154610.68,154607.40000000002,150021.96000000002,146576.16,150673.16,106577.56,109556.0,158531.24,159960.68000000002,108540.04,146206.52,168622.87999999983
23,174904.60000000006,129303.4,160659.18,166419.88,163940.0,168855.46,165357.87999999992,120544.62,109802.38,107906.80000000002,112607.6,104902.24,155258.88,159092.79999999993,144221.88,158593.16,105030.00000000004,101688.2,158281.96,111471.4,161656.24,159509.59999999998,194251.24,153487.96,208854.80000000008,155688.84,160083.2,155758.78,155550.98,152449.6,149677.98,110366.64,114587.0,156757.84,178747.40000000005,108374.84,171568.68,185126.12
24,219397.08,145148.51999999981,162980.19999999998,201474.36,192407.00000000003,175237.48000000019,180417.9199999999,158784.44000000006,122145.19999999998,109133.60000000002,114693.8,118524.84000000016,159210.4,160459.47999999998,150163.96000000002,156255.28,107546.4,102273.08,182337.4,109993.8,176585.72,173729.44000000015,192553.12,159993.40000000002,234171.2000000003,161183.44,179996.4,157055.88,153323.0,162969.40000000002,156823.40000000002,113020.48,141964.0,170585.32,183050.6,113543.4,169119.12,185104.2
25,272175.0,203465.0,204331.0,214866.0,194086.0,196191.0,239463.0,197832.5,140242.0,112553.0,136078.0,127567.0,161793.0,215120.0,148092.0,174952.0,108376.0,138067.0,186826.0,108488.0,188115.0,198747.0,221901.0,161478.0,256545.00000000012,179749.0,190940.0,178604.0,156272.5,189924.0,177852.0,132046.0,167916.0,197971.5,204116.0,120243.5,171424.0,200680.5
26,287626.2,242283.75999999983,232811.52,232405.52,215934.0,201582.20000000004,276619.2000000001,232793.2,211242.51999999981,114343.96,164978.8,127684.28,200166.28000000003,234396.8,152282.36,178247.12,145743.6,138739.52,223051.04,131268.20000000007,223699.36,196420.92,237588.96,158907.28,307058.2000000001,178525.96,196889.2,221615.48,204092.39999999997,234488.92,208316.80000000005,160817.47999999995,202469.0,213982.44,229436.6800000001,162243.71999999994,170139.60000000006,244977.88000000003
27,323896.02,260436.6,268817.44,249195.63999999984,229720.4,206773.08,309974.1999999999,247943.4,264028.0,114250.52,163938.99999999994,126919.76,237989.27999999988,278214.28,157077.98,217878.8,155914.00000000006,138919.88,261431.2,152008.0,267160.3600000002,195945.76,260145.5999999999,179296.2,371812.2000000003,176972.44,208205.75999999992,259813.56,235001.96,261036.16,235371.68,210498.8,201582.0,235361.88,277328.60000000003,205698.96,196684.0,248122.74
28,371301.28,287595.5199999998,336552.72,269156.28,308095.6000000002,253849.04000000012,358586.15999999986,279056.8800000003,280629.8399999999,127631.83999999976,196007.36,130347.28,286480.19999999984,296756.47999999986,157667.56,254638.24000000005,189974.8,148819.19999999998,284538.67999999993,186853.6,319379.36,216715.88,304549.52000000014,203743.72,403682.0000000002,178868.48,263240.03999999963,280802.04000000004,288705.8799999999,273293.80000000005,267951.24,228829.68,199317.0,251098.12,329072.4,227345.3199999999,224465.12,263768.2
29,378177.0,336971.36000000004,382732.08,311823.7199999997,340556.6,295281.56,406554.12,314565.44,315889.86,158736.44,225731.72,132471.71999999994,316623.68,319428.64,157774.58,301773.12,203050.2,166866.39999999994,305469.24,225440.6,381197.32000000007,242650.52,329893.72000000003,233256.64000000013,456342.9,194856.8,305410.52,339944.58,347417.6000000001,298488.5199999999,289892.36,247187.6,215819.0,256066.34,397967.16,251824.76,259984.44,283686.8399999999
30,392032.0,372865.6,406928.2,354907.2,352003.0,334605.4,419675.0,363445.80000000016,349594.59999999986,176056.0,257590.6,152340.0,346652.6,387159.1999999998,179186.4,332360.8,201585.0,182014.6,319816.99999999994,260222.0,429374.00000000006,272484.4,354365.4,277377.2000000001,458161.0,201275.2,336828.99999999994,393162.8000000001,413140.8,349204.4,335072.80000000005,284023.0000000001,267886.0,270366.4,436304.6,268177.0000000001,282528.2,321845.8
31,406966.18000000005,386064.64,422850.12,398313.28,385909.6,375777.44,423834.6,376685.6,403755.98,192934.64,267972.23999999993,170525.48,368084.44,402592.92,200934.28000000003,385868.68000000005,206824.0,184877.52,340363.6,301882.80000000005,450540.3,304837.2,375480.6,306640.64000000036,462935.5,228441.60000000012,388660.28,416900.08,451570.22,403069.87999999983,369905.1599999999,299984.8000000001,315954.0,304381.5600000001,454415.66,298826.74,311521.71999999986,348918.8
32,442710.4,429028.43999999977,480127.0800000001,420900.16,427223.00000000006,382668.6,463531.36,456074.16,405624.04,216953.68,304238.28,175944.6,382316.43999999977,406119.16,241332.23999999987,403061.44000000006,218752.8,184496.96,393024.55999999976,345866.2000000001,456902.88,356080.36,419006.76,329202.96,463006.8,251664.44,429424.9599999999,437949.76,452533.64,462277.92,407635.88,336885.96,332547.0,336238.36,455375.68,348018.88,365905.16,382130.44
33,468488.5800000001,461543.56,511732.58,474982.44,494793.8,380768.98,513746.64,502897.72,406214.76,240948.56,316897.96,202331.8,406406.28,405915.84,297658.87999999995,404251.24,239647.00000000012,183291.6,435554.92,369109.2,459445.18,400129.88,479372.44000000006,365064.04,463932.7,278021.4,451655.68,455760.96,454841.14,465389.24,428465.72,388677.16,359329.0,352313.14,457322.18,369806.4799999999,396356.32000000007,412156.92
34,470007.28,512272.23999999993,538561.68,512090.52,511066.4,397192.8000000001,542895.16,530125.0,410294.28,255321.07999999996,345506.88,238811.36,405064.44,412277.68,308255.11999999994,406094.08,276029.40000000026,194883.08,451906.84,416536.80000000016,462291.52,454086.59999999974,505275.84,410347.04,470171.00000000006,330301.96000000014,452271.23999999976,462269.88,460940.0,465306.92,454445.6,448204.08,410067.0,380371.2799999999,460150.00000000006,417271.7599999999,440818.48,457537.8000000001
35,515008.40000000026,550568.2,566986.4,529946.7999999999,565607.0,445696.9,585943.0,584266.6000000003,411408.8,271697.4,379780.8,273403.2,428955.0,412200.8,342981.3999999999,409041.0,297528.0,217353.19999999995,453419.2,437614.0,465179.9,483031.9999999997,536521.6000000001,442398.4,474028.0,380983.20000000007,459773.6,519745.0000000004,459613.1,468767.2,459475.00000000006,452786.0,433854.0,419235.0,462300.8,460393.0,446122.0,494007.5999999999
36,549250.64,604119.4,582392.64,553111.6,616409.0000000001,452196.48,643266.6000000001,637711.2,414806.12,293587.3600000001,399355.2799999999,314161.15999999986,471185.87999999995,416675.3600000002,365142.92,412586.0,334538.0,243497.63999999987,458827.6,500908.0,465353.92,557417.2000000001,573650.16,496884.6400000003,490212.8000000001,410465.12,458416.76,558843.48,461499.56,498397.1599999999,525219.0,496453.8399999999,450433.0,454936.0,461685.04,523352.16,490838.72,539772.52
37,639225.9600000002,643721.4,644949.02,603444.4399999997,672158.8,525069.9199999999,700867.9599999995,672866.28,419166.44,316061.24,411086.2,353439.96,521413.47999999963,446551.3999999998,389454.82,430519.52,338617.4,275843.4799999998,499358.3999999998,554069.2000000003,473259.18,614894.24,625074.24,541480.7599999999,490938.3000000001,436462.4800000002,494099.2799999999,613721.24,486129.16,533351.0399999999,550020.2,541216.2400000001,458967.0,461836.1,472384.12,589970.64,548731.5599999998,590697.3799999999
38,673920.08,711640.0399999998,670671.72,659394.6799999996,721965.6,559084.64,791874.0399999996,676995.6,438896.5199999998,339515.31999999995,456286.0,382482.44,559875.92,476474.2799999999,404854.32,432821.64,374015.00000000006,304516.8399999999,551392.5599999998,590094.6000000001,516406.2,665804.8,680381.32,605026.0000000001,524912.2000000001,467182.28,521996.0,674817.56,541572.36,565471.5200000001,618753.48,597550.8800000002,460965.0,492242.5199999999,524437.2,628392.7999999999,603178.8,624990.4400000002
39,683285.28,775871.7999999997,681990.04,711462.32,735217.0,613081.42,830353.3999999998,725063.9,440699.54,365204.52,507070.7200000001,405423.4,596882.08,513070.7599999998,406556.96,434132.44,379125.6,350457.84,583158.72,635397.6000000001,548253.0,680550.8,683488.8,664076.0800000002,594321.6000000002,507404.6,553923.7599999998,676293.46,574699.44,581690.64,672782.38,654510.2400000001,477816.0,502859.5400000001,579378.8000000003,671160.46,670367.8,658993.14
40,683724.8,862857.5999999994,697797.2,780206.3999999997,804383.0,669547.2000000001,847056.1999999998,794316.7999999998,450465.00000000006,390602.79999999993,525024.2,455074.99999999977,631173.6,550478.6,405592.8,433644.2,406421.0,368902.4,645203.2,673825.0,592493.2000000003,686695.0,697614.7999999999,673673.4,674871.0,522854.2,574568.4,677753.6,603341.1999999997,637091.9999999999,674225.8,671874.4,496210.0,540384.6,634450.2000000001,687430.0,672246.6,671978.6
41,702523.2,893488.76,701665.7999999999,870653.7599999999,839582.2000000002,691146.48,895622.08,847599.92,494984.4,403897.28,535826.4400000001,503796.76,643781.7199999997,610788.88,402393.64,455770.6,409367.00000000006,390378.11999999994,683756.72,676117.2,629105.7600000001,699200.12,702003.12,725837.26,708880.6,520988.92,609317.2,682289.84,678670.0399999998,676360.9600000001,676090.98,723979.88,531449.0,607025.78,670653.9200000003,707213.06,724012.96,707389.24
42,707888.5200000005,897271.08,700505.4400000001,893523.04,894149.6000000002,701661.2,896365.96,894274.28,532491.72,403383.6,551231.28,533754.36,649235.04,649694.12,423286.24,507364.0799999999,413113.2,403119.12,684601.16,715556.4000000006,671922.4799999996,700717.68,750918.0400000005,726901.16,747341.2000000003,534704.8,663725.08,686148.08,696970.16,708511.08,682237.04,725138.8,580195.0,645554.96,699720.24,723210.4799999999,725339.2,708652.28
43,761615.0000000003,896752.72,725817.0,894832.08,894241.8,708804.6000000002,896723.64,895709.62,578850.36,426987.32,570687.12,575244.48,676139.72,666930.16,452431.3599999999,539403.5200000001,413874.4,400756.68,703700.48,727267.4,702913.9,736106.72,756452.32,728708.06,763686.4,588730.9600000002,703111.24,702849.82,734208.5599999998,731864.4,682501.98,727248.04,635938.0,681281.38,730333.9599999998,725963.44,726941.76,727616.12
44,806634.8000000003,903159.24,790701.4400000002,896672.56,895679.4,777944.8000000002,903184.88,896764.7999999998,639804.2000000001,475501.5199999999,597075.5999999997,618888.4799999999,701193.52,701212.08,487002.67999999993,572125.9199999999,424290.20000000007,433831.8,702991.76,728960.8,746166.4,740588.16,759673.56,730277.4,765890.0000000001,629228.2,703227.92,701851.12,749345.4,760652.36,701845.64,731754.12,691534.0,700998.96,751955.08,726923.52,729315.3999999998,726634.56
45,867583.8000000005,903846.6,845051.7000000002,899726.0,897521.0,830834.6,903666.8,896748.7,658087.5,506981.6000000004,636322.8,623013.0,703504.2,703236.4,511197.4,624688.8000000003,431107.0,472709.1999999999,749771.1999999995,727971.0,756346.0,742049.4,768768.8,734533.2,775700.0000000001,703980.2,746621.5999999999,735449.5999999999,751546.1,762953.6,700647.5,732830.8,700609.0,744592.0,754137.3,733332.4,732692.2,733261.2
46,920048.2400000008,922639.8,923951.64,902169.88,902716.2,901014.36,922573.6,903171.12,689762.7599999999,543305.0800000001,652193.72,623983.88,706819.36,706320.08,543025.64,656396.48,448318.00000000006,506390.56000000006,756715.88,734625.8,756033.8,760457.3199999998,770011.76,737007.24,778111.2,703458.0,756590.76,754601.52,756441.56,767819.96,753522.32,750293.6800000002,741974.0,754925.08,757207.8,733504.16,734368.76,733963.08
47,922628.46,922232.92,923023.46,904766.24,903316.8,923095.34,922060.72,903632.94,709575.26,577069.1600000003,656034.04,624237.36,717971.68,717748.96,584357.1999999997,691783.2000000004,498834.00000000006,555983.0399999996,758557.2,735684.8,760180.06,761344.28,778821.48,754920.54,779433.6,755171.12,756426.48,756227.4,765986.64,777450.24,754257.54,752478.96,752722.0,754964.72,768731.28,753572.54,753227.24,753768.22
48,924006.52,924329.4,924350.08,924395.08,922895.8,924240.88,924121.8,923423.52,711582.64,619616.28,658986.3600000001,628977.76,717865.12,717756.64,601652.24,709464.04,528660.2000000008,611506.6,765121.5999999999,755022.4,770648.52,763451.72,778792.68,755658.16,779330.4,756282.7200000002,760287.36,759746.56,765875.76,777363.84,757799.3600000001,754446.2,755152.0,758863.68,768689.52,754370.04,753987.64,754552.72
49,927641.16,927450.96,928073.64,923654.84,922572.8,926410.56,927284.52,924173.14,714660.9,621341.4,658966.84,630779.68,717977.44,717716.32,616663.2,710936.08,573203.0000000002,619988.6,771318.32,755713.8,772099.1,766444.64,778644.84,757779.06,779260.8,757858.2,771080.44,769034.66,765927.12,777361.92,765486.4600000002,757838.56,758038.0,769823.72,768695.76,755498.4,755874.4,754458.74
