,394_1_www.expedia.de,394_2_www.expedia.de,394_3_www.expedia.de,394_4_www.expedia.de,394_5_www.expedia.de,394_6_www.expedia.de,394_7_www.expedia.de,394_8_www.expedia.de,394_9_www.expedia.de,394_10_www.expedia.de,395_1_www.expedia.de,395_2_www.expedia.de,395_3_www.expedia.de,395_4_www.expedia.de,395_5_www.expedia.de,395_6_www.expedia.de,395_7_www.expedia.de,395_8_www.expedia.de,395_9_www.expedia.de,396_1_www.expedia.de,396_2_www.expedia.de,396_3_www.expedia.de,396_4_www.expedia.de,396_5_www.expedia.de,396_6_www.expedia.de,396_7_www.expedia.de,396_8_www.expedia.de,396_9_www.expedia.de,396_10_www.expedia.de,397_1_www.expedia.de,397_2_www.expedia.de,397_3_www.expedia.de,397_4_www.expedia.de,397_5_www.expedia.de,397_7_www.expedia.de,397_8_www.expedia.de,397_9_www.expedia.de,397_10_www.expedia.de
0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
1,3692.639999999999,4111.5,4067.68,4088.18,4032.52,4098.78,4130.58,5446.7,4552.719999999998,3717.88,2562.8,1171.14,1408.2999999999995,1278.9400000000005,1149.5800000000004,1861.9999999999993,1203.48,1268.16,2024.6000000000006,1433.18,3345.8,1442.66,2231.600000000001,1462.2000000000005,1461.62,1693.4000000000005,1472.68,1074.12,2976.7999999999993,3922.200000000001,3449.1,3634.04,3572.52,3597.36,3563.88,3599.52,3766.5,3556.32
2,8368.92,8289.0,8591.76,8081.0800000000045,8607.64,8349.08,8522.52,7970.4,10558.12,6365.76,5134.36,4717.84,4116.8,5656.88,5653.84,5181.4000000000015,5624.04,4318.600000000001,5248.44,3657.36,5189.52,3601.68,5197.12,4602.799999999998,3575.76,5570.96,3560.64,1802.36,5316.24,6743.200000000006,9348.400000000003,6856.480000000002,6216.96,6177.28,8361.24,7069.799999999997,4095.0,8262.36
3,17415.24,18444.5,17425.56,17068.28,17494.84,19408.6,20353.88,26311.599999999984,16410.42,17779.16,6660.519999999998,6173.3,6435.400000000005,6620.12,6358.86,6097.2,6293.16,6545.68,6064.76,5059.74,8560.72,4888.38,6094.46,6241.6,4818.12,8429.360000000002,4987.68,3242.360000000001,6182.78,17212.399999999998,13906.4,17525.64,17664.28,17023.280000000006,17573.84,12869.759999999998,8464.0,17442.76
4,55842.51999999996,110634.0,108617.11999999994,101587.88,85456.64000000001,35610.16,149123.15999999995,135437.79999999993,35586.51999999998,67458.28000000004,10753.200000000004,7836.559999999998,8644.2,8634.760000000002,8183.320000000002,9544.999999999996,8180.519999999998,8521.64,9232.400000000003,6157.2,15764.200000000004,5887.64,10066.4,8322.8,5985.480000000001,8210.600000000002,6359.72,16445.56,11059.199999999995,40745.0,25378.6,39112.52,40062.44,33043.04,34521.36,18451.599999999995,21214.0,39538.96
5,74301.2,141066.5,126126.6,232518.00000000003,182245.3,98272.6,190403.8,192647.0,121291.59999999995,162338.20000000007,17506.800000000007,17595.6,13904.5,17810.600000000002,17231.099999999995,18186.0,17708.2,17798.8,17671.8,8364.1,18111.6,8211.7,17098.2,17508.0,8342.9,17653.4,8106.6,16296.2,17718.9,43353.0,48070.0,56385.20000000002,40412.9,41450.4,34919.8,47517.2,39368.0,40189.4
6,120180.63999999994,219901.0,194039.76,279515.64,277827.08,171169.76,275331.76,249765.39999999985,183309.24,278070.24,57925.08,28748.599999999984,32394.400000000038,38287.679999999935,56514.27999999992,57694.2,38438.6,50920.08,55044.24000000001,14775.959999999995,35429.08,17585.52,37057.36,24855.399999999994,17460.64,38258.56,17745.52,26268.36,32845.48,74041.2,48223.6,96616.12,62688.92,86015.32000000005,57575.27999999996,48886.88,40070.0,88090.03999999994
7,183603.56,283658.0,227736.12,287175.26,280656.34,246248.68000000005,291412.5999999997,280922.3,251063.44,281141.64,55529.82,56640.26,58441.8,57170.46,57098.22,55355.8,57893.32,56115.56,56513.48,17780.42,32795.24,17528.66,35077.08,32567.6,22625.220000000005,37365.32,22259.439999999984,30518.92,30558.42,73734.00000000003,82824.1,97696.42,76038.12000000001,97860.92,65002.34,71573.2,41753.5,113969.44
8,249726.11999999997,291433.0,230744.2,284285.48,288456.08,256541.84000000003,322570.12,283966.6,297301.88,289081.84,56339.68,54508.44,56022.8,55536.76,58029.24,59081.8,55976.56,54465.64,57047.16,26040.64,60789.72,31476.24,59005.52,30444.2,41992.76,46797.36000000004,35970.52,28462.64,60763.52,80860.8,121514.0,101187.92,103933.19999999998,102893.12,102115.19999999998,103388.72,42969.0,117141.36
9,280443.88,295405.5,287209.68,301403.96,285360.84,288665.08,347986.46,294366.8,298066.48,288434.36,62642.14,57515.55999999999,56988.5,59301.36,61825.31999999999,65579.39999999997,59729.12,58401.16,61213.12000000003,24142.46,67435.16,29701.48,62654.38,31481.4,40032.98,64945.4,35950.80000000002,34003.64,66844.24,122300.4,123003.2,107581.15999999996,107926.12,104901.76,122707.18,124596.72,59795.0,131869.48
