,378_1_www.cinema.de,378_2_www.cinema.de,378_3_www.cinema.de,378_4_www.cinema.de,378_5_www.cinema.de,378_6_www.cinema.de,378_7_www.cinema.de,378_8_www.cinema.de,378_9_www.cinema.de,378_10_www.cinema.de,379_1_www.cinema.de,379_2_www.cinema.de,379_3_www.cinema.de,379_4_www.cinema.de,379_5_www.cinema.de,379_6_www.cinema.de,379_7_www.cinema.de,379_8_www.cinema.de,379_9_www.cinema.de,379_10_www.cinema.de,380_1_www.cinema.de,380_2_www.cinema.de,380_3_www.cinema.de,380_4_www.cinema.de,380_6_www.cinema.de,380_7_www.cinema.de,380_8_www.cinema.de,380_9_www.cinema.de,380_10_www.cinema.de,381_2_www.cinema.de,381_3_www.cinema.de,381_4_www.cinema.de,381_5_www.cinema.de,381_6_www.cinema.de,381_7_www.cinema.de,381_8_www.cinema.de,381_9_www.cinema.de,381_10_www.cinema.de
0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,110.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
1,6752.34,8474.92,8378.52,8509.04,8274.12,8409.96,8287.74,8305.06,8467.56,6268.72,12206.72,12047.7,27469.72,12431.04,11757.4,12894.179999999997,12784.999999999998,12552.16,13283.2,12330.82,12488.96,12441.32,9123.600000000006,12577.2,12297.0,9523.2,12626.94,8847.000000000005,31857.18,8311.08,8488.4,10351.56,8337.16,8398.4,9966.28,8554.38,8625.6,8277.18
2,98389.56,97847.88,74094.31999999999,98295.68,97635.08,98054.08,96344.2,96479.96,97819.04,82625.23999999999,110896.92,98356.68,72481.84000000001,91973.8,89440.60000000002,52241.4,100370.0,67922.4,61974.08,93047.44,96648.48,98052.84,98984.88000000002,94800.72,55302.60000000001,91409.72,61901.88,89579.6,74327.36,89474.36,88028.6,20541.84,31876.24,87049.39999999997,20332.56,88858.68,89622.4,89247.44
3,109300.84,101539.16000000002,110826.24000000003,104996.64,105573.24,104384.12,105325.82,107886.92,111477.72,106220.28,141454.88,142098.26,143671.42,131889.94,116460.64000000012,105480.62,142893.4,103668.9,107368.14,137034.26,153537.13999999998,139531.47999999998,113813.64,145649.14,136090.19999999992,130590.38,112171.14,105592.6,143983.13999999998,96017.88,101881.2,102732.12,71283.40000000001,93324.5,101455.48,101390.18,100079.60000000003,98278.98
4,154454.44,143950.68,122213.40000000002,145255.92,150583.48,159796.36,159842.24,148721.96,140918.04,151062.08,221797.56,217451.6,270377.84,178689.2,153071.36,157179.19999999998,200519.60000000003,173765.28,147496.2,200667.84,217283.4,210880.8,146382.04,167456.76,202404.6,156925.88,168950.88,148638.2,270500.16,110131.84,108067.6,139820.12,107401.79999999996,142080.4,138318.64,136134.56,110442.4,133598.56
5,168593.30000000005,175686.60000000038,161876.0,155622.0,168620.8,168270.6,187277.1,154872.9,166392.8,163467.8,362454.00000000006,366377.1,458850.00000000006,313198.4,296717.00000000023,270006.3,313642.0,277164.3,281247.99999999994,295998.4,403335.3,315715.4,224714.0,274108.0,404415.0,260778.4000000001,274312.0,268418.5,364033.5999999999,145589.8,163814.0,150690.3,144143.6,148215.0,149997.19999999998,147205.2,153899.0,141456.4
6,316973.0,276058.56,272722.0000000002,239333.31999999948,203928.12000000008,196130.6,268324.16000000003,254369.92,229495.96,168047.83999999994,473771.28,546246.28,557062.92,490392.08,396316.52000000025,405221.08,453797.0,425659.28,413693.23999999993,463550.32,523767.28,422120.1599999999,401923.72,396997.68,529514.5999999996,334089.15999999986,390604.76,354682.2,477105.24,249202.08,232420.39999999997,165502.80000000002,261867.75999999983,254311.39999999997,177629.36000000004,207756.48,197612.20000000004,262562.96
7,440918.16,417577.44,385599.6,372806.36,384909.84,333469.24,384700.74,367951.9,367807.64,278562.16,569104.48,569801.94,570182.08,564223.82,511627.62,521529.1,564762.2,480963.72,547790.5399999999,565111.02,673206.76,564082.0,508280.72,516941.94,558237.2,518512.36,549141.56,478643.9,565940.54,328568.60000000003,359715.0,278662.88,359447.6000000001,360277.1000000001,360491.2800000004,348822.32,363235.6000000001,404474.66
8,514908.6,470950.52,475173.72,473556.3599999999,467432.56000000006,437329.0,444925.48,470006.92,468640.04,389232.76,628752.28,687185.0,710489.44,678120.6,549712.72,603987.36,641151.6000000002,573772.48,571297.6,595268.4,694904.2,691661.2,547715.64,673330.36,595567.6,645629.1599999999,677561.24,532880.6,702221.12,450856.92000000033,445204.2,383393.79999999993,462481.04,415328.2,453342.64000000025,440261.04,440027.2,446603.4
9,589051.5199999999,515186.3,513979.12,518652.12,620244.32,608079.3999999999,547362.3600000001,511742.2,505231.7199999999,475486.4,717361.12,754185.82,721946.66,710568.98,696240.14,691347.72,709239.2,663436.24,611412.7600000001,718667.46,785168.18,740652.3999999998,576568.32,696872.02,707240.7999999998,691132.2,703174.58,685432.5,779886.7200000002,477329.64,462409.6,500340.14,503599.76,504824.9,510869.20000000007,474417.56,497966.8,506007.28
