,18_1_www.amazon.com,18_2_www.amazon.com,18_3_www.amazon.com,18_4_www.amazon.com,18_5_www.amazon.com,18_6_www.amazon.com,18_7_www.amazon.com,18_8_www.amazon.com,18_9_www.amazon.com,18_10_www.amazon.com,19_1_www.amazon.com,19_2_www.amazon.com,19_3_www.amazon.com,19_4_www.amazon.com,19_6_www.amazon.com,19_7_www.amazon.com,19_8_www.amazon.com,19_9_www.amazon.com,20_1_www.amazon.com,20_2_www.amazon.com,20_3_www.amazon.com,20_4_www.amazon.com,20_5_www.amazon.com,20_6_www.amazon.com,20_7_www.amazon.com,20_8_www.amazon.com,20_9_www.amazon.com,20_10_www.amazon.com,21_1_www.amazon.com,21_2_www.amazon.com,21_3_www.amazon.com,21_4_www.amazon.com,21_5_www.amazon.com,21_6_www.amazon.com,21_7_www.amazon.com,21_8_www.amazon.com,21_9_www.amazon.com,21_10_www.amazon.com
0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,67.0,-442.0,67.0,-442.0,67.0,-442.0,67.0,67.0,-442.0,67.0,67.0,-48.0,-48.0,67.0,-442.0,67.0,67.0,-442.0,67.0,67.0,0.0,67.0,67.0,67.0,-48.0,0.0,-442.0,-442.0,-442.0,67.0
1,8.479999999999562,217.04,-549.5999999999998,235.0799999999998,280.39999999999975,-503.7600000000001,5.240000000000052,-595.44,5.240000000000052,-172.79999999999959,1665.84,1153.82,1620.52,1183.52,653.26,1587.68,937.0400000000003,1529.22,447.04,1494.46,1465.4,-99.71999999999984,6140.06,1470.5200000000002,1466.02,1467.94,1491.3,4832.08,540.92,1552.8400000000006,1810.22,1260.9,1928.1999999999985,618.6800000000002,1233.02,1166.24,1139.9599999999996,2303.7
2,1365.24,-365.44,1419.0,1381.04,1459.2,1477.8,-373.47999999999985,1360.2,-373.47999999999985,1352.6,3807.68,2291.44,4136.160000000004,2338.84,1258.28,4202.44,4402.4000000000015,2449.4,1003.72,3386.680000000001,2551.76,870.84,37639.24000000001,4621.88,2064.1600000000035,2439.72,2578.4,13102.4,1014.84,2396.96,1272.7599999999989,4708.2,5563.5999999999985,1307.04,4517.3600000000015,4581.36,4456.32,8547.44
3,1219.16,1581.02,1341.8000000000004,1181.5199999999998,2243.2,1465.2799999999993,1683.96,1218.3200000000004,1683.96,1195.4,5979.4,5054.6399999999985,5115.800000000001,7059.16,2660.0600000000004,6967.6799999999985,6727.239999999998,4371.940000000001,1364.6599999999992,7193.08,4318.04,4822.5999999999985,59781.42,7117.3600000000015,4504.06,4423.82,4581.0999999999985,37344.76,2534.6999999999994,7181.04,4650.66,6680.8,12631.9,2814.76,6909.48,6729.66,6201.159999999997,19263.58
4,563.1600000000002,1449.16,784.4000000000003,410.3600000000001,1750.8000000000004,959.9599999999997,1770.4,619.7600000000001,1537.12,2322.800000000001,8364.84,8522.08,10965.28,8516.72,4719.039999999994,9224.6,11227.04,7214.16,2722.1600000000008,8514.36,6005.7199999999975,7145.28,104101.36,8854.799999999996,5827.360000000002,6558.24,7111.799999999997,56809.32,2102.120000000001,9007.599999999991,7202.24,12604.599999999995,32782.6,3636.68,8330.119999999999,9437.08,8360.24,33971.560000000005
5,2325.0000000000005,724.3999999999997,227.0,2207.5000000000005,3620.0,2815.6,1310.4,1586.5999999999995,1310.4,2566.0,10197.80000000001,9870.9,12662.8,17722.0,7189.7,17783.4,28753.799999999985,12653.8,3732.099999999999,17841.5,16086.60000000002,8038.4000000000015,181259.6,12517.6,9856.3,7221.7,8582.0,85734.4,5520.0999999999985,12695.4,13140.5,18631.5,36933.0,6103.4000000000015,17976.6,17477.0,18161.4,43478.000000000015
6,4582.72,2470.4000000000005,2231.000000000001,4587.28,4457.6,2572.32,652.4400000000006,2225.08,652.4400000000006,2795.200000000006,10700.679999999997,19114.8,18157.56000000001,26200.16,10003.52,29268.52,48696.76,14919.599999999995,7533.759999999998,27010.92,30060.96,18141.8,315269.35999999987,41517.87999999997,17190.16,17482.6,17757.199999999993,104035.48,7052.92,30412.72,14963.759999999995,28841.4,50898.2,10527.72,29951.320000000003,36922.28,28372.6,74325.63999999994
7,4374.84,4821.72,4484.6,4430.14,4184.2,2323.04,885.8399999999965,4575.440000000001,885.8399999999965,4330.6,13376.519999999995,36708.82,35729.96,35755.44,20896.04,28928.039999999994,46611.22,33797.68,12022.84,32514.600000000013,30865.64,25664.92,320989.98,47202.36,23168.200000000008,33561.28000000002,19394.1,179129.6,9202.020000000002,33697.880000000005,25420.039999999964,37847.7,90989.8,15173.999999999995,30233.76,37535.74,66802.96,87029.45999999999
8,4505.7999999999965,4661.72,4644.5999999999985,6119.719999999998,5980.0,4430.5999999999985,2402.4,4406.44,2402.4,4224.5999999999985,15587.72,42220.08,33671.28,37260.16,37883.31999999997,42443.44,73397.96,31620.56,14589.600000000013,37372.92,40645.16,30332.44,326859.08,66381.12,28064.16,42976.16,47153.8,178882.56,11664.8,34469.04,31508.44,38095.8,97475.6,26424.16,34700.36,39092.44,64911.24000000001,111598.4
9,6954.84,4254.54,4440.200000000002,6768.18,6403.999999999997,4467.92,2447.52,4588.600000000002,4634.52,7028.2,18138.040000000008,43090.98,36643.52,48881.28,47534.18,61780.04,77649.58,46259.16,16861.44,38684.14,41413.52,46926.04,399407.6,78182.96,52382.56,41489.18,45390.4,315456.88,20476.18,37562.28,30249.16,66788.39999999997,169124.3,26971.92,41834.74,43749.92000000001,82861.36,174472.9199999999
10,7021.5999999999985,8541.800000000001,7097.0,7071.6,6329.0,5665.000000000003,4602.0,6989.4,4602.0,6528.0,24297.0,62801.6,48819.2,50105.2,56849.8,62191.8,81942.8,57173.2,20614.40000000001,54325.6,67086.2,51117.6,526714.3999999999,82039.6,52851.2,42992.2,46176.0,319880.2,32186.2,42029.2,55555.8,68582.0,189999.0,30421.2,53413.8,46598.2,88688.6,233547.8000000002
