,250_1_www.faz.net,250_2_www.faz.net,250_3_www.faz.net,250_4_www.faz.net,250_5_www.faz.net,250_6_www.faz.net,250_7_www.faz.net,250_8_www.faz.net,250_9_www.faz.net,250_10_www.faz.net,251_1_www.faz.net,251_2_www.faz.net,251_3_www.faz.net,251_5_www.faz.net,251_6_www.faz.net,251_7_www.faz.net,251_8_www.faz.net,251_9_www.faz.net,251_10_www.faz.net,252_2_www.faz.net,252_3_www.faz.net,252_4_www.faz.net,252_5_www.faz.net,252_6_www.faz.net,252_7_www.faz.net,252_8_www.faz.net,252_9_www.faz.net,252_10_www.faz.net,253_1_www.faz.net,253_2_www.faz.net,253_3_www.faz.net,253_4_www.faz.net,253_5_www.faz.net,253_6_www.faz.net,253_7_www.faz.net,253_8_www.faz.net,253_9_www.faz.net,253_10_www.faz.net
0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,67.0,67.0,67.0,-442.0,67.0,-442.0,-442.0,-442.0
1,202695.48,130077.68000000002,183328.4,140588.63999999996,205886.24,203562.88,204168.88,204820.52,206249.22,203098.72,108174.68,106732.40000000004,158342.1,181187.09999999992,152452.19999999998,16061.999999999995,150885.84,85282.0,154066.7,18204.72,37725.000000000015,21962.800000000007,33712.0,24864.400000000005,37388.59999999996,42380.400000000016,47997.02,51866.68000000002,30867.0,16163.840000000002,43734.39999999999,16260.679999999995,14897.600000000004,23597.64000000004,9927.600000000006,14425.0,29873.35999999996,49735.87999999999
2,422616.36,214683.28,264500.6,251543.64,219786.92,238633.3199999999,306442.91999999987,292778.48,244973.16,370027.72000000015,294125.91999999987,253102.04,329226.19999999995,292495.96,317488.0,272452.6,322999.16,154586.0,309921.40000000014,188982.19999999995,100939.4,53136.16,115031.72,74142.72,171447.84,78271.2,148264.24,119642.4,101814.0,164297.52,173894.08,168265.24,170083.8,283368.64,161027.96000000002,173185.0,195471.16,185598.47999999995
3,729403.12,598473.4,628579.7999999999,548310.36,636288.9600000001,629728.6399999999,665693.42,660728.36,524488.76,690513.3600000001,611170.9199999999,487506.16,601813.5,558493.5199999998,598579.9,465644.2,558268.36,331580.0,584164.5,371255.96,206050.50000000003,183832.4,246817.83999999997,229169.92000000004,251273.19999999995,175371.80000000005,239332.1,229375.99999999988,194112.0,304157.3,402169.02,333223.96,358780.00000000023,529758.36,327618.06,375132.5,420122.84,392093.48
4,816022.88,757238.84,761800.2,699024.1199999999,757251.88,758373.96,765493.7999999998,759834.72,759115.44,837020.12,873195.84,684356.04,883380.6,870052.48,849963.3999999997,740927.2,735051.6,478279.0,881059.2000000003,539351.64,367494.4,327882.2,417595.32,358021.2,421848.52,314552.0,350188.44,351018.64,297468.0,530634.04,614319.96,541056.44,571561.8,656372.24,482492.4,621891.0,615906.32,616740.4400000001
5,966536.0,855384.8,956127.0,775110.6,823813.6,778911.6,958158.8,952830.8,784281.3999999996,970114.8,905504.2,889230.2999999998,932979.5,899930.1,897757.0,899465.0,889890.6000000002,698956.0,902453.5,692207.2,554584.0,527926.4,574359.4,502701.00000000006,564112.7999999998,441224.0,470766.50000000006,497520.20000000007,443321.0,682054.9,854107.0,797020.6,861205.0,863522.4,656341.8,881406.0,795303.1,870246.3999999998
6,1130782.64,969114.32,1094476.2,951457.76,965993.32,999870.12,1095363.04,1096952.84,962786.6,1134145.96,952869.04,905221.68,953305.8,950570.12,949262.4,923473.2,906322.12,895978.0,953885.4,876243.52,736580.0000000001,787539.2000000002,766574.6,622600.4,790630.96,559427.8,623490.5200000001,687250.2799999998,630374.0,877856.36,883581.32,882162.12,892378.6,892011.68,859664.3600000003,899190.0,886488.6,890633.96
7,1510567.1199999996,1122371.28,1212909.8,1094239.24,1094201.56,1099108.24,1267093.76,1234205.2,1094178.96,1410287.8,1037791.3,954433.28,1056527.7,1009992.32,1008807.9,991017.8,981745.08,916331.0,1061090.5000000005,914763.16,874414.1,885733.96,885788.16,726538.12,878300.88,790822.2,805472.18,857152.12,837472.0,890601.5599999998,1011702.76,953633.3599999999,967502.4,1067240.04,885968.72,1004180.0,900896.12,1017357.8799999992
8,1783987.08,1558754.04,1523848.7999999996,1162985.08,1227585.36,1343931.5199999993,1716483.04,1672350.64,1260278.64,1706380.7200000002,1171555.08,1091639.0,1168966.4,1141344.88,1166160.2,1171908.8,1033781.56,960585.0,1166583.0,1006363.76,898922.0,902756.24,895937.88,771952.56,891269.84,883921.6,884925.08,886819.48,887983.0,989598.92,1085833.32,1076126.24,1088494.8,1079461.76,1027531.88,1089954.0,1064979.2799999998,1083764.44
9,1818549.32,1662117.44,1789378.6,1403929.8,1554973.4,1669108.64,1797116.92,1793365.32,1611010.72,1798715.36,1306366.8000000005,1169365.22,1195455.0,1187045.2,1194755.3,1192678.3,1177474.3,1150473.0,1201527.4,1088831.4,991501.1,930917.08,922647.04,817218.88,979146.8,896306.3999999998,926569.02,903086.44,939560.0,1083175.14,1141651.92,1094479.28,1105837.4,1105850.28,1081757.18,1115596.0,1093156.78,1135011.88
10,1848589.8,1800599.8,1793131.0,1711583.9999999998,1784972.2,1788529.4,1812206.4,1807545.4,1785429.4,1834751.6,1456179.2,1205128.000000001,1455149.0,1389110.6,1451927.0,1456621.0,1340638.4,1190505.0,1459429.0,1229326.2,1081345.0,1034985.0,1014653.0,900190.0,1075724.6,941981.0,986172.0,973970.8000000002,1023532.0,1116663.0,1282931.6,1252185.4,1264064.0,1196899.0,1110209.0000000002,1301508.0,1117508.0,1265967.6
