,114_1_www.owasp.org,114_2_www.owasp.org,114_3_www.owasp.org,114_4_www.owasp.org,114_5_www.owasp.org,114_6_www.owasp.org,114_7_www.owasp.org,114_8_www.owasp.org,114_9_www.owasp.org,114_10_www.owasp.org,115_1_www.owasp.org,115_3_www.owasp.org,115_4_www.owasp.org,115_5_www.owasp.org,115_6_www.owasp.org,115_7_www.owasp.org,115_8_www.owasp.org,115_9_www.owasp.org,115_10_www.owasp.org,116_1_www.owasp.org,116_2_www.owasp.org,116_3_www.owasp.org,116_4_www.owasp.org,116_5_www.owasp.org,116_6_www.owasp.org,116_7_www.owasp.org,116_8_www.owasp.org,116_9_www.owasp.org,116_10_www.owasp.org,117_1_www.owasp.org,117_2_www.owasp.org,117_4_www.owasp.org,117_5_www.owasp.org,117_6_www.owasp.org,117_7_www.owasp.org,117_8_www.owasp.org,117_9_www.owasp.org,117_10_www.owasp.org
0,-442.0,-48.0,-48.0,-442.0,-442.0,67.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-48.0,-442.0,-442.0,-442.0,-48.0,67.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-48.0,-442.0,67.0,67.0,-442.0,67.0,-442.0
1,362.9600000000011,581.2800000000002,564.8800000000001,2849.26,861.4799999999984,769.06,2457.48,609.0,878.82,1269.360000000002,1556.2,1556.2,1546.4,1521.9,1428.8000000000004,1325.74,1526.8,99.12000000000069,1365.1,1605.96,1466.36,688.2800000000003,1392.4399999999994,1428.8000000000004,1512.1,1336.8,440.71999999999986,1330.8,1616.32,1526.8,1526.8,-526.6800000000002,1477.8,-472.8000000000001,-457.52000000000015,1321.0,-419.32,1594.12
2,7090.68,6530.920000000001,4185.480000000001,6571.64,7052.84,4580.76,6598.84,4013.0,4623.32,7021.88,1204.44,1204.44,1173.88,1097.4800000000002,811.8400000000003,521.8799999999999,1112.76,1259.4799999999998,633.4799999999998,1163.44,2442.68,1151.84,1318.32,811.8400000000003,1066.92,549.6,1305.88,537.44,1259.4799999999998,1112.76,1112.76,1437.92,959.9599999999997,1578.2,1571.88,510.0,1556.08,1159.76
3,11172.56,9837.720000000003,7935.32,9802.239999999998,11420.799999999992,7931.86,13183.760000000002,8458.0,8155.579999999999,10430.76,2484.12,2484.12,2475.24,2453.04,2260.56,2279.22,2457.48,242.2799999999997,2222.34,463.8400000000004,4423.08,1903.8400000000045,2569.52,2260.56,2444.16,4499.4000000000015,931.1599999999955,4180.079999999998,605.0400000000002,3580.680000000001,2689.16,1008.5200000000017,2400.36,694.3000000000002,682.4200000000002,4452.0,652.7199999999998,280.48000000000025
4,26301.32,26297.84,26473.2,27403.360000000004,26613.16,17226.08,24954.44,19222.0,11368.16,26173.12,4598.16,4598.16,4586.32,4556.72,4321.96,4482.84,4562.64,2978.4800000000023,4404.12,4489.28,6566.56,4586.32,4567.12,4321.96,4544.88,4533.8,3999.8799999999987,4448.36,4707.12,4562.64,4562.64,2643.84,4570.76,4660.2,4697.48,4461.0,4790.68,2302.92
5,28335.8,28444.8,24702.200000000008,26985.2,27031.39999999998,24620.2,30580.6,24549.0,28075.7,28249.7,4444.200000000002,4444.200000000002,4336.4000000000015,4633.9,6897.399999999998,6810.700000000002,4197.2,4515.6,7004.2,4326.7,8409.199999999999,4066.900000000001,6401.5999999999985,3672.800000000001,4219.999999999995,6586.0,4613.0999999999985,6928.6,4396.2,4120.799999999998,4120.799999999998,4372.9,5669.000000000003,4457.5,4441.7,6907.0,4464.6,4389.9000000000015
6,32359.12,32555.28,30524.16,32745.48,32550.56,31421.68000000001,33953.44,32621.0,27946.52,32371.04,6829.959999999999,6829.959999999999,6752.92,6558.3600000000015,7129.92,8229.76,5865.84,6696.119999999999,7800.720000000001,5586.199999999996,13244.8,6560.08,6229.68,6118.56,6568.72,8496.2,6855.080000000003,8118.919999999997,4056.119999999999,6598.84,6598.84,4923.800000000003,6625.760000000002,6227.2000000000035,5831.680000000006,8598.0,5287.199999999997,6815.959999999999
7,33751.58,35944.04,34346.44,34625.22,34094.04,32486.96000000001,46411.96,32344.0,34487.78,34045.52,8507.92,8432.92,8268.84,7155.199999999996,8241.120000000003,10300.84,5617.319999999998,5677.04,9426.840000000004,6574.12,21601.000000000004,6218.82,7599.799999999994,9947.88,8416.14,13019.8,8304.119999999999,8968.399999999998,6829.959999999999,8252.92,8495.92,6576.28,8438.32,7161.500000000007,6648.8200000000015,9711.0,6683.72,6741.7800000000025
8,47075.36,49077.76,46477.68,45746.16000000001,47468.68,39673.960000000014,68334.04000000005,35485.0,35504.92,46878.24,8230.400000000001,8155.4000000000015,9610.04,10977.88,12369.4,12667.04,7575.76,7486.84,10004.96,8070.6799999999985,19519.04,10570.8,12298.4,9819.04,11114.199999999995,17267.200000000008,10824.72,12798.36,7608.400000000002,9995.600000000002,10795.6,5679.119999999999,10858.600000000004,8418.2,6293.960000000003,12914.0,8554.28,8318.36
9,67316.62,89201.60000000002,52799.56,50326.19999999999,77973.52000000003,49028.38,119321.52,48924.0,48140.74,80755.32000000012,13490.72,12264.12,11812.56,11103.919999999995,15248.839999999998,17975.78,11534.479999999998,13316.960000000005,14475.960000000005,8025.54,20641.08,12849.06,20283.72000000001,18542.28,12746.96,20521.4,11414.600000000002,21810.0,8007.679999999998,12929.8,15183.839999999995,8952.200000000008,12785.52,11052.2,8890.800000000005,18101.0,9389.799999999992,10605.599999999997
