,234_1_www.unicef.org,234_2_www.unicef.org,234_3_www.unicef.org,234_4_www.unicef.org,234_5_www.unicef.org,234_6_www.unicef.org,234_7_www.unicef.org,234_8_www.unicef.org,234_9_www.unicef.org,234_10_www.unicef.org,235_1_www.unicef.org,235_2_www.unicef.org,235_3_www.unicef.org,235_4_www.unicef.org,235_5_www.unicef.org,235_6_www.unicef.org,235_7_www.unicef.org,235_8_www.unicef.org,235_9_www.unicef.org,235_10_www.unicef.org,236_1_www.unicef.org,236_2_www.unicef.org,236_3_www.unicef.org,236_4_www.unicef.org,236_5_www.unicef.org,236_6_www.unicef.org,236_7_www.unicef.org,236_8_www.unicef.org,236_9_www.unicef.org,236_10_www.unicef.org,237_1_www.unicef.org,237_3_www.unicef.org,237_4_www.unicef.org,237_5_www.unicef.org,237_6_www.unicef.org,237_7_www.unicef.org,237_8_www.unicef.org,237_9_www.unicef.org,237_10_www.unicef.org
0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
1,8482.44,7764.9199999999955,5953.6399999999985,8171.7,6823.399999999998,7259.0,6165.5999999999985,8632.16,7124.000000000003,8523.5,5025.88,8238.16,8136.3600000000015,8234.58,5084.04,4980.440000000001,8606.44,5186.8,8486.74,8314.34,6532.38,13029.999999999998,8282.9,8276.199999999999,10159.800000000008,10047.7,10120.4,8351.3,8288.960000000001,8345.8,8508.2,8337.1,8410.62,8077.0,8406.88,8279.58,8393.18,8477.56,8101.48
2,38757.8,37965.32,34786.35999999998,41176.960000000014,34102.2,42593.0,33856.76,39097.68,18631.000000000004,40871.0,13073.64,35908.36,34911.32,34384.96,13292.12,13023.32,31339.99999999996,12934.2,35104.04,34377.44,30072.56,80412.2,35516.8,36841.16000000002,75003.92,72551.6,21573.00000000001,35199.12000000002,38965.32,37195.6,42318.4,41843.8,39962.24,39384.0,46547.63999999996,38026.640000000014,70934.75999999991,33702.88,38269.83999999998
3,80759.52,106563.27999999996,163018.92,153404.94,108529.79999999989,84468.0,130908.12,181042.48,47592.5,171606.0,35649.560000000005,126121.12,83961.08,124751.36000000006,36024.080000000016,36079.44,45344.44,26850.199999999964,79493.62,137789.56,109304.06,264256.4,115722.80000000019,113264.24000000006,141480.82000000007,143965.8,50675.00000000002,114236.34,129671.31999999998,109407.16,171192.80000000008,219318.9,248187.20000000004,162040.0,249014.16,167886.42,278499.24,196759.48,223975.36
4,220430.36,300165.48,289829.36,330334.88,263094.4,302603.0,287958.56,302667.28,116233.6,300276.0,42298.8,302829.4,287070.72,302143.44,42693.92000000001,45043.24000000001,150078.15999999995,45462.99999999999,188175.36000000004,281790.8,135634.92,409227.2,146129.4,152997.52,252735.76000000004,228344.8,151964.8,264978.12,145548.84,251683.2,303335.2,302796.8,302438.4,302326.0,304949.08,300437.2,301875.84,300031.76,302066.48
5,307726.0,303147.8,370981.6,420669.6,306499.0,365915.0,305574.8,350334.99999999994,202163.0,381225.0,160446.39999999994,353041.19999999984,347393.8,336197.7,107306.80000000008,210877.19999999992,213244.8,177963.0,317227.60000000003,351113.80000000016,252159.6,519399.0,239851.5,199456.40000000008,416009.7,418782.5,226363.0,363504.9,300919.0000000001,289100.4,354341.0,351925.0,346589.2,345520.0,347336.0,331026.60000000003,343389.1999999999,311347.8,339213.6
6,484358.8,438244.92,441482.2,480702.72,378038.5999999999,466452.0,442441.6,511380.8799999998,318635.0,481360.0,289336.92,499211.76,399262.64,475519.92,198283.64,276239.92,338723.56,300663.4,375853.56,437087.92,405709.52,723044.2,419154.2,419919.6000000002,562627.8800000001,547008.8000000003,420100.2,455815.72,420286.96,417050.4,443418.40000000026,560590.0,549712.16,412873.0,574122.88,436177.7200000001,553292.4,350740.7600000001,441454.9599999999
7,651427.92,653211.4,652451.36,641316.9200000003,569226.4,637837.0,621974.0800000001,722587.48,472064.79999999993,644325.0,308941.4,592660.6,474827.8,608667.8800000002,305470.92,304486.16,458955.47999999975,310683.4,533923.6000000002,627475.86,506085.96,771698.2,557808.0000000002,546900.3600000001,732666.02,728671.8,528826.8000000003,544337.92,596808.5200000001,531032.04,625384.8000000003,689229.7999999999,682866.7600000006,626490.0,705797.7999999998,597611.8200000001,674106.2,563420.76,524984.0399999996
8,785537.9599999998,822233.1599999998,844404.28,807290.04,758329.7999999998,800431.0,775787.4400000002,939773.28,604221.4,760625.0,349275.96,681395.72,717456.28,700072.0000000002,308877.24,335487.64,601382.0399999999,343906.59999999986,699636.8,772540.6,661841.6799999999,849485.0,721633.0000000001,725900.04,902615.04,773183.6,611237.0,703405.1600000003,729582.2000000002,717014.6000000002,771172.0,873026.6000000002,935935.64,772405.0,968584.4,735549.2000000002,817702.88,674252.28,680140.48
9,1019568.44,1070312.5599999998,1092736.9999999993,939148.28,930336.4,1057195.0,1013822.9600000004,1123229.44,730376.8,1011156.0,381257.8,837948.1600000003,936917.5600000008,979822.66,317076.84,397954.7999999997,735220.04,350323.2,976681.5599999998,1028753.86,744994.3600000001,1012562.8,769554.1000000002,884573.4800000002,952737.96,946035.0,734370.0,755056.1,772992.64,766741.12,1029706.8,1036701.0,1036549.58,977082.0,1036248.96,953145.04,1032795.64,843151.6400000001,816290.5599999998
