index,181_1_www.microsoft.com,181_2_www.microsoft.com,181_3_www.microsoft.com,181_4_www.microsoft.com,181_5_www.microsoft.com,181_6_www.microsoft.com,181_7_www.microsoft.com,181_8_www.microsoft.com,181_9_www.microsoft.com,181_10_www.microsoft.com,182_1_www.microsoft.com,182_2_www.microsoft.com,182_3_www.microsoft.com,182_4_www.microsoft.com,182_5_www.microsoft.com,182_6_www.microsoft.com,182_7_www.microsoft.com,182_8_www.microsoft.com,182_9_www.microsoft.com,182_10_www.microsoft.com,183_1_www.microsoft.com,183_2_www.microsoft.com,183_3_www.microsoft.com,183_4_www.microsoft.com,183_5_www.microsoft.com,183_6_www.microsoft.com,183_7_www.microsoft.com,183_8_www.microsoft.com,183_9_www.microsoft.com,183_10_www.microsoft.com,184_1_www.microsoft.com,184_2_www.microsoft.com,184_3_www.microsoft.com,184_4_www.microsoft.com,184_5_www.microsoft.com,184_6_www.microsoft.com,184_7_www.microsoft.com,184_8_www.microsoft.com,184_9_www.microsoft.com,184_10_www.microsoft.com
1,-442.0,-442.0,67.0,67.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-3437.0,-442.0,-442.0,-442.0,-235.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,67.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1390.52,1499.02,79.22000000000003,75.26000000000002,1366.82,1426.86,1419.6,-258.0799999999998,1509.94,1400.0,4018.699999999999,4098.28,4100.36,4159.2,3996.12,3914.1600000000003,3407.000000000001,1156.6799999999996,4030.6800000000003,2935.3999999999996,3650.94,4067.6800000000003,3575.7599999999998,3774.12,3785.76,3594.12,4009.48,3572.52,3762.82,3837.1200000000003,5095.82,4229.42,5200.679999999999,4174.28,4934.76,4942.3,6263.82,6148.1600000000035,6311.3,5443.16
3,3952.92,3809.8400000000006,1613.1599999999999,1656.2799999999997,4017.72,3708.7200000000003,3944.28,4261.399999999998,3950.48,4057.0,4773.84,4419.72,4866.36,6850.039999999997,5060.96,6429.08,5116.799999999999,5389.32,4466.4400000000005,4918.92,5898.4800000000005,4555.76,6617.200000000002,7829.519999999998,6368.88,7261.040000000003,6056.079999999998,6196.96,6337.56,6874.24,16726.44,8557.88,19711.04,8823.72,13513.799999999996,12431.999999999995,39540.6,19260.48,32510.999999999996,7543.6799999999985
4,5323.48,6298.560000000009,4464.98,2373.7200000000003,5193.86,4892.98,5430.64,5787.98,4426.98,5409.0,8226.78,7873.96,8600.88,11171.84,8553.28,9124.399999999994,8422.099999999999,8725.64,8133.399999999995,6138.24,15325.16,8545.26,12077.24,17439.56,12466.28,19815.32,10116.400000000001,19063.88,19514.48,12607.12,62146.0,25908.559999999994,78341.46,19483.6,37861.56,40110.79999999995,70699.18000000001,73812.92000000001,31264.799999999952,35607.04
5,6518.52,10000.200000000006,4931.88,5578.639999999999,4651.120000000001,6087.24,6798.72,6533.84,8490.36,4539.0,19387.76,19238.2,19574.6,13284.64,19350.68,19385.079999999998,19760.399999999998,19068.160000000003,19575.4,9478.68,33457.399999999994,19249.36,17679.4,24468.08,41128.23999999999,27261.12,32299.32,40128.36,28006.68,16239.92,71718.04,50080.08,76317.96,36243.2,39620.72,58540.200000000004,77434.2,87499.96,55399.8,44518.32
6,8382.6,12529.8,9004.1,7273.200000000002,8234.4,8176.3,10127.2,8897.699999999999,8913.000000000005,8532.0,21083.2,23870.79999999999,21457.8,18200.999999999985,21265.8,24785.6,19296.0,19508.600000000002,22473.999999999985,12512.599999999999,37550.7,43075.9,55203.999999999956,20871.600000000002,43668.6,28520.799999999996,29392.6,43606.9,24934.100000000002,26893.999999999996,80565.40000000001,52751.4,99468.5,36358.40000000004,53596.799999999996,60106.0,119415.40000000001,116096.2,66218.5,66749.0
7,9577.600000000002,13964.48,10538.88,8018.16,7528.279999999998,12909.839999999998,13008.640000000001,20074.28,17249.839999999997,8018.0,24374.12,49478.84,24942.12,30105.199999999997,35258.84,55926.68,24954.4,24997.44,69420.79999999992,25555.879999999983,41548.880000000005,43194.28,60526.48,20707.88,45270.48,25200.68,27418.24,49878.04,23678.48,40359.240000000005,93269.31999999999,60197.16,146858.2,61927.72,72647.44,88096.59999999999,154083.27999999997,134156.24,88630.20000000001,91169.24000000003
8,19574.600000000002,16239.140000000001,17701.740000000005,17894.3,19561.12,19136.399999999998,14168.44,19833.88,20046.499999999996,17802.0,81380.06,46050.48,37787.759999999995,35503.44,35287.36,69726.96,49580.500000000015,57626.119999999995,79233.04,27151.08,44649.14,53141.659999999996,56566.56,27359.36,45863.44,32795.46,32406.279999999995,51288.98,32492.74,37465.28,116270.8399999999,91753.58,158890.02000000008,67244.52,80739.68000000001,125257.8,197778.30000000002,190821.6800000001,150801.50000000003,132062.32
9,19547.48,27459.52,22744.440000000006,20229.12,18983.2,19421.6,16023.44,36785.399999999994,49675.2,19436.0,78915.36,53417.880000000005,35204.56,53460.240000000005,35205.840000000004,69622.68,50220.2,63900.960000000036,76485.68,30210.6,51699.07999999999,53073.04,64408.92,43901.52,77765.39999999997,38810.16000000001,40629.08,65807.35999999999,39770.24,36368.32,165985.8,117151.92,196322.88,80399.04,134719.07999999993,186292.39999999985,253037.4,210719.60000000003,187334.4,134338.52
10,25494.0,27126.2,25854.36,26188.440000000002,24397.599999999984,29116.88,17906.600000000002,51083.28,57552.46,36225.0,76434.28,77154.68000000001,37387.64,50684.48,45647.83999999999,75382.44,53596.3,71591.08,82931.75999999997,39939.8,61610.84000000002,55627.1,97587.5599999999,54615.24,88779.48,48322.479999999996,44950.840000000004,65975.81999999999,44611.38,54577.76,190768.76,152381.34,228155.80000000002,81664.96,162172.76,218139.89999999994,273788.81999999995,278038.76,243257.50000000003,167266.6
11,25701.600000000002,36260.4,25278.600000000002,26509.8,57116.4,33548.799999999996,26995.0,51238.200000000004,60620.4,54645.0,82263.4,86448.40000000001,46304.799999999996,63583.20000000001,51618.4,84815.99999999984,68744.0,69999.2,88272.59999999999,87919.40000000001,71949.4,62175.200000000004,128071.4,53756.8,120269.40000000001,50333.20000000004,65167.399999999994,74044.6,52711.200000000004,97553.79999999983,222008.6,173130.6,316903.80000000005,111950.00000000001,203338.99999999997,279754.0,436909.2,352148.0,286122.0,171469.0
12,25773.32,50170.58,26584.08,25125.86,55853.840000000004,31847.320000000003,27486.44,52096.86,59274.18,56926.0,88289.86,90682.88,52792.240000000034,71678.76,55731.36,94416.76,75054.80000000003,85724.88000000002,92887.08,86171.88,83765.31999999988,63652.020000000004,141128.88,69581.36,124821.24,56964.40000000003,82729.40000000001,85948.7,72850.18000000001,118570.08,278350.3,228529.73999999996,378682.32,136324.76,249973.28,316513.1,442476.48,403038.6400000001,350662.5,230107.4
13,27081.56,54483.880000000085,41468.76,42442.479999999996,53572.719999999994,51148.92,50420.79999999992,68922.32,57622.56,55331.0,90704.52,94513.84,57468.56,79700.92,70436.32,93254.68,82200.2,88786.96,94206.68,86557.96,116577.52,68547.76,141331.72,69936.39999999998,130592.96,56482.36,88693.8,94994.04,96841.20000000001,117712.44,284202.19999999995,253218.4,415720.4,179722.03999999998,264929.2,372330.39999999985,569421.0399999999,509537.88,447440.0,271489.56
14,47288.52,64859.94,47330.64,45927.76000000001,70125.46,52402.56,57864.36,80799.14,71020.58,56313.0,94153.38,93567.8,69291.52,84895.19999999997,71838.64000000001,95774.39999999997,85613.1,91906.76,92012.39999999997,87819.36,142113.04,75098.56,147297.48,81931.92000000001,134627.76,68821.8,122421.32,113575.46,131346.36,117818.56,318364.54,288150.4,456685.1,236465.84,338898.04000000004,425814.5,659395.9599999998,579150.6,450284.1999999998,284335.6400000002
15,67698.11999999998,66326.56,47038.2,48159.6,81870.16,64751.04,58495.16,90767.64,75046.76,55160.0,92092.56,96778.52,76085.08000000022,97791.6,79224.64,105853.56,89911.8,93769.51999999999,98568.8,91470.52,154370.16,90648.27999999996,155275.68,125470.08,140931.56,98735.24000000002,147244.32,133214.59999999995,166344.32,117006.28,391960.95999999996,337963.04000000004,514767.04000000015,269596.6,431316.5999999999,462905.79999999993,789839.48,619460.7200000001,544506.4,327566.60000000003
16,71303.8,65863.7,45944.6,52239.7,87677.20000000001,68219.8,56927.6,90517.9,88383.9,69764.0,94062.1,115595.8,93332.0,101151.6,118823.99999999996,109834.8,94235.5,95288.80000000012,103176.79999999999,95024.2,157946.80000000002,107746.3,161162.8,154433.99999999997,166714.2,131203.6,163147.0,170752.99999999997,171629.8,141806.2,433157.10000000003,409990.7999999997,623106.6000000001,319869.2000000001,452262.0,517026.0,874652.8999999999,739059.0,612638.0,416660.00000000006
17,70966.08,69582.16000000002,49356.92,54514.36,92689.28,73965.76,55763.04,91719.47999999995,92637.4,91449.0,103650.04,127103.07999999997,108811.36,108148.36,134628.92,115621.6,90690.0,98695.92,114825.35999999991,99292.88,163132.4,134477.39999999997,181397.36000000002,160810.24,176006.4,152729.08,169920.72,186169.2,170393.12,140255.59999999998,478823.6,496351.6,715583.2000000001,372961.12,482709.31999999995,549310.0,973736.9999999998,798461.6,718810.0,524685.2400000003
