index,342_1_www.alternate.de,342_2_www.alternate.de,342_3_www.alternate.de,342_4_www.alternate.de,342_5_www.alternate.de,342_6_www.alternate.de,342_7_www.alternate.de,342_8_www.alternate.de,342_9_www.alternate.de,342_10_www.alternate.de,343_1_www.alternate.de,343_2_www.alternate.de,343_3_www.alternate.de,343_4_www.alternate.de,343_5_www.alternate.de,343_6_www.alternate.de,343_7_www.alternate.de,343_8_www.alternate.de,343_9_www.alternate.de,343_10_www.alternate.de,344_1_www.alternate.de,344_2_www.alternate.de,344_3_www.alternate.de,344_4_www.alternate.de,344_5_www.alternate.de,344_6_www.alternate.de,344_7_www.alternate.de,344_8_www.alternate.de,344_9_www.alternate.de,344_10_www.alternate.de,345_1_www.alternate.de,345_2_www.alternate.de,345_3_www.alternate.de,345_4_www.alternate.de,345_5_www.alternate.de,345_6_www.alternate.de,345_7_www.alternate.de,345_8_www.alternate.de,345_9_www.alternate.de,345_10_www.alternate.de
11,296693.6,296268.2,293149.4,197369.0,268453.0,202931.2,295394.0,237544.00000000003,299144.4,257275.40000000008,40583.0,38827.400000000016,75479.20000000004,40925.2,96306.8,44704.4,39322.4,67228.2,61048.4,202427.00000000006,1497.2,1625.2,1431.6000000000001,1497.2,-221.0,3712.9999999999995,3651.6,1625.2,1625.2,1533.6,295479.8,293571.4,294954.39999999997,302308.0,295776.4,201239.0,176393.00000000003,241784.6,137390.1999999998,315973.0
12,295991.6,296192.46,300228.96,199682.8,302238.7,228791.48,301086.19999999995,283257.08,301647.64,281621.66,41877.0,57844.64,108763.36000000007,41776.32,119495.32000000008,47780.01999999999,57113.20000000001,89855.37999999995,70604.31999999999,264559.2,1559.2200000000003,1594.12,1491.74,1559.2200000000003,2000.6,4055.64,3871.8,1594.12,1594.12,1322.0600000000004,300479.36,294532.27999999997,298438.76,314371.6000000001,293786.06,216097.1,217810.76,276994.9,143459.84,328732.6
13,302257.12,299502.04,302808.28,214133.4,307162.8,241483.72,344060.44,319806.79999999976,312158.36,306877.48,48723.0,91901.48000000003,143479.67999999993,45556.32,133766.36000000002,76172.16,65314.44,135033.84,73351.59999999998,293162.52,1117.24,1556.2,1559.08,1117.24,1747.8000000000002,3935.6400000000003,4469.12,1556.2,1556.2,1474.2000000000003,304528.32,297720.48,300660.48,348214.4,315473.28,227018.39999999997,228449.2,298637.72,147744.67999999996,331693.8
14,299019.48,302375.34,316880.68,252768.40000000002,313062.3,242976.02,343332.82,375417.9999999999,324635.69999999995,350589.27999999997,51081.5,152412.48,176451.1,48678.28,163419.44,76071.34,71073.22,181155.27999999988,115649.39999999997,298969.83999999997,1945.1000000000004,1453.3,1235.8200000000004,1945.1000000000004,1874.2,3601.6800000000003,4235.339999999999,1453.3,1453.3,2722.8999999999996,327782.76,311922.64,307628.72000000003,362306.6,349152.60000000003,273000.39999999997,256532.56,299581.54,168791.59999999974,330838.2
15,319980.96,313293.52,332914.36,293835.0,326649.8,306386.32,350394.96,428481.95999999996,365163.72000000003,354973.96,82019.0,165594.6,188889.84,61207.240000000005,173747.92,108645.4,108458.80000000002,260249.3599999997,163188.88,318660.4,3234.399999999998,1350.4,1776.199999999999,3234.399999999998,4126.4,3700.079999999999,4066.48,1350.4,1350.4,4117.56,353123.44,339340.99999999994,321086.16,361330.6,366245.1999999999,327642.4,270663.28,302502.32,196382.96,348436.4
16,362067.2,323241.2,366390.8,331689.0,360889.0,344821.4,370755.00000000006,472783.0,393406.9,352434.00000000006,101340.5,172284.7,203733.6,74000.2,181131.00000000003,174053.3,173615.5,294546.5,210298.19999999992,356470.6000000001,4095.2000000000003,1344.7,3202.9999999999995,4095.2000000000003,3843.0,4147.8,6080.599999999999,1344.7,1344.7,4043.6,363471.60000000003,349503.19999999995,343950.4,376607.0,388734.3,342077.5,287835.0,316450.7,202806.6,366343.0
17,358929.07999999996,321255.72,373441.76,378757.6,386220.39999999997,397363.5200000002,384318.2,531912.08,405114.6,381601.48,130692.0,221205.91999999998,260087.31999999998,86756.55999999997,221953.88,217797.4,223078.88,294072.68,283861.27999999997,398194.64,4022.04,1377.8799999999999,3957.7999999999997,4022.04,3969.4,4795.839999999998,5871.2,1377.8799999999999,1377.8799999999999,3952.92,371809.76,361593.48,362732.48,400738.8,419129.68,391616.0,326808.24,338695.8,220079.52,376976.99999999994
18,410572.1600000001,357247.5400000001,372125.08,381798.4,433344.5,471300.5200000001,429832.7,616747.88,459121.74,388196.12,170908.0,233103.18,298438.58,147215.68000000002,247375.32,266983.68,282593.32,300850.58,300406.96,428518.56,3933.48,1411.06,4071.12,3933.48,4110.2,5286.08,5968.82,1411.06,1411.06,3727.9800000000005,378614.44,374976.52,362859.88,444385.2000000001,471599.06,435593.2999999995,336837.36,361180.83999999997,232414.79999999996,413387.79999999993
19,465221.32,362022.52,387049.2800000001,439748.60000000015,479463.4000000001,473171.08,486204.88,688428.8,519642.99999999994,416047.72000000003,204072.0,258437.6800000001,320739.88,208614.96000000002,291940.23999999993,302421.08,295192.76,323648.83999999997,315526.99999999965,452345.08,3683.04,1444.24,4000.44,3683.04,5839.000000000002,4967.160000000001,6679.68,1444.24,1444.24,3580.08,410171.92,381445.96,369987.48,506597.4,527048.7600000002,491138.2,360864.8,358194.44,263871.55999999994,493319.2
20,466251.60000000003,385896.4,449498.31999999995,457633.79999999993,498080.2,476437.36,518321.80000000005,730532.4,577175.3799999999,498870.10000000003,250624.0,278746.94,346354.62,263830.08,359560.0,306866.96,300408.04,355914.67999999976,363940.6,459512.4,3574.6800000000003,1477.42,3907.74,3574.6800000000003,5498.399999999999,5009.72,6651.419999999999,1477.42,1477.42,3761.7799999999997,498304.5200000005,411202.24,366869.84,539173.0000000001,678384.0399999996,579528.6,391155.56000000006,364968.12,313426.3199999999,519495.4
21,490319.80000000005,419969.80000000005,489897.0,506055.0,507606.0,491477.8,543324.0,810238.0,653967.9999999999,537504.2,301066.0,291091.2,396390.0,305602.6,375904.6,320076.2,298916.2,398175.8,398742.8,472262.4,3786.399999999999,1515.4,3670.2,3786.399999999999,6195.0,4574.400000000001,6408.2,1515.4,1515.4,4158.4,524216.80000000005,438679.59999999945,414669.1999999998,589968.0,755884.3999999998,645504.0,426780.8000000002,389118.0,342510.99999999965,562642.0
22,557291.64,430092.82,531444.2,575091.8,536545.1000000001,541017.18,577965.1,864234.7999999999,679872.7199999999,622305.64,301051.5,325086.8,417297.6599999999,317503.9199999999,409672.52,334810.8599999999,318796.14,400031.39999999997,424889.5999999998,483696.45999999996,4126.34,1553.6200000000001,3576.84,4126.34,9507.000000000004,4335.64,7269.639999999998,1553.6200000000001,1553.6200000000001,4162.079999999999,616801.7600000006,490569.24,461185.8,641234.8,846617.22,719233.5,458038.16,441783.9,367203.5599999999,641625.0
23,632204.3200000001,469580.16000000003,559430.7999999999,618300.4,599943.0000000001,551059.56,594809.64,921734.2,759509.8399999995,704705.8,307585.0,344922.0,443687.9200000001,329927.28,448967.6,372718.07999999996,346925.92000000004,440786.8399999998,445518.04,494741.60000000003,4087.12,1440.6399999999999,3716.080000000001,4087.12,11932.200000000004,4200.360000000001,8190.4,1440.6399999999999,1440.6399999999999,4822.559999999999,711611.4,523573.03999999986,537574.12,706735.6000000002,923381.64,721023.9999999999,496443.44,496177.92,409007.92,761835.5999999999
24,684389.12,499580.58,662914.4,660050.4,616015.8,583156.72,610224.3,988093.4,821502.9999999999,782413.3,326137.5,356954.4200000001,448886.56,375680.36,450326.48000000004,405733.5,372824.88,455642.36,453772.56,503611.51999999996,4130.58,1214.26,4136.94,4130.58,12878.599999999999,5557.879999999999,8148.58,1214.26,1214.26,5333.280000000001,749245.64,563518.4,661396.9199999996,770245.8,936229.46,762031.6,529244.3200000001,555033.88,408307.75999999995,806724.0
25,741617.92,514194.07999999996,751468.3199999998,684683.8,657800.0,609234.2400000005,659443.12,1042102.599999999,872174.24,833942.2,337425.0,385838.9600000001,451754.8,403674.6,453578.56,428409.27999999997,401019.68,457435.56,455576.56,520567.44,5078.44,1196.6000000000001,4097.72,5065.5199999999995,12666.6,6220.84,8735.199999999999,1196.6000000000001,1196.6000000000001,5420.96,839501.8,632379.9599999995,750540.08,799628.0000000002,939533.16,824178.5999999999,608905.12,575392.4400000001,438292.55999999994,847918.0
26,769594.0,567167.0,833558.0,714144.0,701795.0000000001,664530.5,685898.5,1109742.0,917011.9999999995,907825.0,367977.0,435438.0,464803.5,415922.0,471669.0,458457.0,402498.0,461487.5,469479.0,528281.0,5490.5,2066.0,4111.5,5471.5,12507.0,5970.000000000001,8908.0,2066.0,2066.0,5227.5,945018.0000000007,709725.0,834299.0,838231.0000000009,955674.0,885103.5,671807.0,626243.5,497278.0,908875.0
27,858619.12,637667.2000000001,927209.6,748468.0,765684.4,700282.7200000003,703368.6400000001,1143991.48,959089.0399999999,1031691.32,389419.0,450612.72000000003,465637.72,434201.76,478125.72,461814.12,434621.72,469811.67999999993,477382.2,536857.84,5350.24,2935.3999999999996,4404.6399999999985,5331.24,12153.6,6061.639999999999,8576.76,2935.3999999999996,2935.3999999999996,5091.64,955053.6000000001,780255.7999999999,904223.3999999999,918393.4000000003,1003286.4400000001,941800.0,729009.16,697937.0,541767.3999999999,954545.8
28,917596.32,715206.0200000003,953293.68,791513.6000000001,832308.2000000004,746957.2200000001,739332.4,1156760.36,998137.82,1076012.46,418085.0,449558.63999999996,476325.94,456784.16,480015.31999999995,465193.80000000005,455516.48,474242.1799999999,483030.07999999996,542266.54,5130.86,3447.7999999999997,5226.780000000001,5111.86,12487.2,6853.119999999993,8277.640000000001,3447.7999999999997,3447.7999999999997,5070.96,986191.3600000001,857850.88,923825.32,968104.8000000005,1017901.1199999999,988811.7,744950.1600000001,777851.6,579195.9599999998,989047.0
29,982641.52,800584.5599999999,1008261.32,808013.6,924973.0000000001,771144.88,808305.68,1157901.16,1033002.3199999995,1084971.44,454382.0,458325.68,474657.6,465646.19999999995,494343.72,476441.11999999994,457772.56,483214.88,488148.60000000003,599342.44,5212.04,3876.2,5205.08,5193.04,12264.799999999997,8358.48,10482.72,3876.2,3876.2,4745.56,1076041.72,986783.9199999999,995392.24,999177.2,1089748.64,1049180.9999999998,776961.2400000001,810958.12,658658.3200000001,997745.0
30,1009202.24,862766.7000000001,1035264.96,816893.4,982525.6000000001,818422.7,886637.24,1164965.0,1069731.2,1086277.76,456998.5,464237.42,486223.3,467172.32,493248.12,482267.12,460476.02,496165.46,500725.12,652143.14,4918.040000000001,4105.52,5030.219999999999,4899.040000000001,12745.8,8167.04,10328.34,4105.52,4105.52,4450.58,1100450.82,1009695.0,1015568.84,1069381.8000000003,1107423.74,1081548.5999999999,839958.9600000001,837954.02,701156.8399999999,1027783.2000000001
31,1016160.7999999999,944823.4,1094168.7999999998,823257.0,1014730.0,863439.4,947904.8,1188538.0,1095032.5999999999,1099232.0,461361.0,472643.40000000014,487136.39999999997,482661.2,503372.8,484706.0,472027.0,500546.79999999993,511065.6,652752.2,4628.200000000001,4069.4,4864.8,4609.200000000001,13931.0,8144.2,10584.000000000002,4069.4,4069.4,4509.2,1134553.0000000002,1039414.6,1063448.5999999999,1111230.0,1137870.0,1106696.0,894129.2000000003,899097.0,724927.7999999999,1058466.0
32,1049671.0799999998,1040250.7599999999,1135912.5999999999,874323.0000000001,1048745.0,865364.7999999999,951743.72,1201562.28,1136597.9199999997,1121466.5000000002,472395.0,482553.80000000005,498508.31999999995,481625.0400000001,505545.56,501732.28,478824.24,505805.05999999994,512996.2399999999,655229.46,4532.58,4032.84,4938.06,4513.58,14807.800000000003,8235.84,11142.56,4032.84,4032.84,4276.88,1143985.82,1058025.8,1106102.72,1133893.8,1171723.24,1133278.5999999999,937632.6000000001,935689.76,772254.7599999998,1084899.7999999998
33,1090132.5999999999,1105483.96,1172224.64,905362.6,1087953.0,881259.32,961050.08,1214707.6,1176080.0,1154859.4400000002,475911.0,482807.2,500580.08,496414.52,508958.04,501499.8,486329.72,522784.28,522462.2,659683.2000000001,4498.320000000001,3987.48,4684.24,5114.8399999999965,14961.600000000002,8265.320000000002,10886.76,3987.48,3987.48,5325.319999999999,1169524.08,1139708.5999999999,1122068.1199999999,1166035.4000000004,1170270.36,1170637.0,942157.24,1004976.4400000001,820559.52,1158210.2
34,1106003.84,1147401.76,1177479.24,925900.4,1125158.0999999999,905216.5600000003,998637.46,1233520.2799999996,1206704.6199999999,1217396.98,487290.0,498656.38,513346.24000000005,501457.27999999997,524115.16,508906.14,493043.07999999996,528735.46,534080.52,712161.4400000001,4343.959999999997,3942.12,4417.9400000000005,6832.56,15397.599999999999,7816.48,10715.56,3942.12,3942.12,6384.88,1219442.94,1184242.8799999997,1166341.3999999992,1204612.0,1177023.6,1180338.5,981670.6,1025189.8,886792.0,1194528.7999999998
35,1158078.44,1157033.96,1185787.08,976901.0000000001,1172150.8,953297.36,1006769.08,1243712.84,1232993.52,1257282.24,493380.0,497570.8,512776.8,504198.16,529119.6,522510.44,497859.0,535692.5599999999,558307.2399999996,713648.36,6202.079999999998,3837.1200000000003,4234.84,6771.88,15275.199999999997,7644.840000000001,12748.16,3837.1200000000003,3837.1200000000003,6281.64,1222316.52,1216401.4,1180096.2,1236845.0000000007,1219719.8,1219543.1999999995,1000521.4,1032633.6,941072.04,1209426.0
36,1214255.9999999998,1181394.7000000002,1212223.0,1013287.0,1205713.0,975649.5000000001,1019999.0,1248389.6,1235923.7,1270714.0,496153.0,506578.69999999995,527821.3,518802.4,532069.4,522363.99999999994,504413.00000000006,548813.5,599918.3999999998,718815.7,8060.199999999999,3702.3,4308.099999999999,6595.7,17312.0,8173.999999999992,12533.0,3702.3,3702.3,6107.9,1251760.1,1266260.7999999998,1225622.6,1255385.0,1225023.6,1225623.5,1025857.0,1058903.8,953501.6,1245276.0
37,1224653.3599999999,1225646.88,1232663.04,1074097.4000000001,1221444.6,1023082.04,1045395.96,1283932.68,1296823.36,1275176.6400000001,508518.0,517809.9600000001,526692.84,520386.4,541674.3999999999,533620.8,512090.36,572123.52,647929.4400000001,723726.96,8701.52,3599.52,4073.52,6565.08,17095.8,10301.199999999995,12645.56,3599.52,3599.52,6175.84,1274946.76,1267525.96,1233005.96,1305004.0,1244996.56,1259427.0,1044451.64,1105960.8,982880.92,1249915.8
38,1227267.8,1288896.46,1252769.8,1104751.0,1224999.6,1054407.3399999999,1069247.6199999999,1307608.2,1296876.84,1324091.78,510884.5,520073.12,540613.54,533148.48,552016.16,542374.04,519860.20000000007,629341.2,652361.72,726526.94,8584.74,3576.84,4797.079999999998,6629.86,17095.8,12652.719999999988,13353.119999999999,3576.84,3576.84,6243.78,1277155.34,1271797.44,1233682.76,1308530.6,1278669.34,1282671.1,1108948.8800000001,1144595.7199999997,981204.36,1256474.9999999998
39,1284063.2,1290777.84,1287905.48,1136367.4,1228067.8,1109125.2400000002,1107892.8,1344840.8,1303365.84,1338339.2,520045.0,532712.5200000001,561951.6,532941.4,568683.6,575134.3200000001,524977.7999999999,651042.64,652897.4,728574.52,8439.64,3554.16,6193.12,6620.880000000001,17231.8,14133.16,13302.839999999998,3554.16,3554.16,7798.879999999999,1282369.16,1304650.72,1273085.2,1311894.6,1276462.32,1285421.6,1127281.12,1185698.96,990827.24,1288191.6
40,1289549.16,1291930.96,1285951.28,1205997.2,1234167.3,1142144.56,1168002.22,1367413.08,1300436.26,1340654.06,528741.5,545778.1000000001,581147.6,544477.6799999999,617850.6000000001,612336.1,535968.42,653816.36,652083.2000000001,731378.9199999999,8504.42,3786.4599999999996,6138.36,6307.640000000001,17290.200000000008,13961.480000000001,13086.14,3786.4599999999996,3786.4599999999996,8484.04,1286667.86,1333363.3599999999,1286536.96,1315669.4000000001,1278914.04,1288861.7,1136245.6800000002,1198920.06,1029185.1999999998,1310895.4
41,1289536.4,1296040.4,1288380.4,1214789.0,1259509.0,1152824.4,1184858.0,1383182.6,1309232.4,1341828.4,535533.0,563261.8,622630.6000000001,603724.4000000003,654804.6,654493.2000000001,543669.4,654214.7999999999,656035.0,735704.0,8569.199999999999,4045.6000000000004,5984.599999999999,8112.799999999994,18781.0,13967.4,14077.599999999988,4045.6000000000004,4045.6000000000004,8354.4,1292743.4000000001,1337749.8,1290007.6,1317277.0,1285105.8,1294050.0,1176943.2000000002,1230004.8,1087707.4,1314039.0
42,1293702.96,1302656.22,1295646.04,1228238.8,1280944.1,1187809.8400000003,1200752.9200000002,1412368.64,1315755.94,1344089.14,547781.0,593931.52,641000.4,626216.4,654707.52,652181.68,565455.84,675575.5199999998,679117.0,737984.94,8539.12,4157.34,5915.86,8520.12,20482.399999999998,13823.560000000003,14826.699999999999,4157.34,4157.34,8231.539999999999,1296191.98,1341512.48,1289178.56,1329122.4000000001,1291760.76,1296646.9,1184392.52,1242501.4,1091486.52,1311111.6
43,1295406.64,1300415.56,1303725.32,1270626.2,1303345.4,1270981.68,1229772.28,1435728.48,1325772.12,1355018.72,565811.0,646842.6799999999,649139.52,650367.88,658587.84,656401.16,614445.56,702777.68,711765.24,739974.4,8405.84,4135.08,5974.32,8386.84,20284.2,13784.119999999999,14750.32,4135.08,4135.08,8299.48,1296945.1199999999,1344405.68,1293746.72,1345139.4,1288469.2,1308218.0,1190237.6,1245966.8,1115687.5999999999,1316223.2
44,1305971.68,1315499.8,1304313.44,1284304.5999999999,1325869.3,1287729.0999999999,1234260.36,1463315.44,1350904.3599999999,1362428.46,609376.0,644354.36,652040.6,655965.12,658831.6,659004.52,654560.36,704126.74,713933.88,744742.72,8292.539999999999,4211.879999999998,6032.78,8273.539999999999,20529.8,15242.439999999993,14897.619999999999,4162.079999999999,4161.959999999999,8367.42,1315602.08,1350399.16,1299396.4,1346736.0,1312090.54,1323082.4,1203521.16,1302107.18,1160819.6,1327130.2
45,1310548.52,1329339.24,1337699.68,1311285.6,1331352.4,1295775.24,1290120.3599999999,1497624.68,1384094.96,1369934.24,653305.0,646954.52,655941.36,651950.16,685913.2800000003,707922.9999999999,653365.28,705422.12,715585.16,749846.24,8357.32,4883.040000000001,7315.960000000005,8338.32,21422.00000000001,14816.519999999999,15534.200000000004,4484.64,4483.68,8445.44,1332242.8,1350607.1199999999,1303256.16,1347108.2,1316223.2,1331633.7999999996,1210941.76,1308570.64,1170091.92,1336823.4
46,1310564.0,1329582.6,1364869.2,1346640.0,1336829.0,1316901.8000000007,1293254.9000000001,1498309.8,1423664.8,1383344.3,650940.5,647604.1,655721.4,654470.2,712367.7999999999,710668.1,653458.7,711045.1,721362.7999999999,751808.2,8422.1,5554.199999999998,8290.800000000001,8403.1,22640.0,15664.2,17439.2,4807.199999999999,4805.399999999999,8082.699999999999,1383197.4000000004,1362046.6,1320393.8,1346518.0,1311766.3,1362532.0,1220078.0,1314667.7,1194673.4,1341236.0
47,1323755.68,1355734.28,1387448.16,1362923.6,1346370.6,1340579.72,1293851.48,1504071.96,1425046.1199999999,1388819.9200000004,654461.0,649160.2799999999,657424.68,665677.04,713337.88,711972.36,665473.0800000001,712303.32,722608.64,755767.84,8495.52,5733.52,8229.44,8476.52,22649.6,15653.64,17258.159999999996,5084.32,5114.64,7971.96,1388199.2,1375677.76,1324673.0,1394792.6,1346599.8399999996,1376265.4,1239392.1600000001,1314917.76,1217186.72,1354914.2
48,1330037.28,1373428.46,1417486.72,1370873.0,1352879.5999999999,1354091.6400000001,1298570.52,1511843.04,1446565.14,1440122.24,653672.0,663638.5400000002,660201.66,682490.7200000002,716704.48,714205.22,703305.16,716281.7,726423.32,766716.16,8229.94,5759.14,8052.58,8210.94,22832.2,15656.52,16907.88,5347.239999999999,5419.979999999999,7785.619999999999,1405202.12,1374748.5999999999,1323950.0,1432667.2,1372188.76,1414695.6,1291992.28,1312278.98,1222416.32,1361479.6
49,1329405.52,1403166.6799999995,1428718.84,1401816.0000000002,1372798.4000000001,1384312.8800000001,1305027.72,1514340.72,1458633.52,1467748.16,656357.0,706175.28,675392.5599999999,704853.08,718820.04,721286.64,704339.88,717913.76,727490.92,789081.4000000006,8014.76,11,8041.08,7995.76,23485.8,15661.32,17454.44,11,11,8052.600000000002,1407132.0,1406826.4,1339280.4399999995,1466086.4,1403044.72,1438806.8,1296082.24,1318109.92,1252978.16,1393692.0
50,1330874.24,1428160.06,1436271.92,1422927.0,1381521.2,1436590.1,1313949.94,1515621.36,1458604.24,1478259.1,658942.0,708851.94,703690.0799999998,704955.64,724606.84,721479.62,706732.38,717826.88,727344.04,885878.8400000002,21,10,19,21,23495.4,15648.84,17809.860000000008,10,10,21,1420880.46,1450267.0,1405708.8,1466019.4,1403034.64,1438708.4,1294465.92,1326075.74,1280197.36,1433170.0
51,275,277,281,290,288,295,264,338,290,308,158,164,179,169,189,174,162,187,189,249,20,2266,18,20,38,28,41,2266,2266,22,289,273,276,306,298,297,224,235,210,272
52,497,522,537,650,617,652,569,796,597,549,267,293,292,273,327,293,271,294,313,424,5420,7980,4342,5420,42,30,46,7715,7814,5420,524,491,526,574,495,598,420,462,442,508
