index,318_1_derbiokoch.de,318_2_derbiokoch.de,318_3_derbiokoch.de,318_4_derbiokoch.de,318_5_derbiokoch.de,318_6_derbiokoch.de,318_7_derbiokoch.de,318_8_derbiokoch.de,318_9_derbiokoch.de,318_10_derbiokoch.de,319_1_derbiokoch.de,319_2_derbiokoch.de,319_3_derbiokoch.de,319_4_derbiokoch.de,319_5_derbiokoch.de,319_6_derbiokoch.de,319_7_derbiokoch.de,319_8_derbiokoch.de,319_9_derbiokoch.de,319_10_derbiokoch.de,320_1_derbiokoch.de,320_2_derbiokoch.de,320_3_derbiokoch.de,320_4_derbiokoch.de,320_5_derbiokoch.de,320_6_derbiokoch.de,320_7_derbiokoch.de,320_8_derbiokoch.de,320_9_derbiokoch.de,320_10_derbiokoch.de,321_1_derbiokoch.de,321_2_derbiokoch.de,321_3_derbiokoch.de,321_4_derbiokoch.de,321_5_derbiokoch.de,321_6_derbiokoch.de,321_7_derbiokoch.de,321_8_derbiokoch.de,321_9_derbiokoch.de,321_10_derbiokoch.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3965.88,4035.0,3779.3399999999997,3638.1,3715.14,3931.3199999999997,3586.56,4036.72,3599.52,4040.16,1502.66,1224.9000000000008,2722.8999999999996,1074.1200000000001,1419.0800000000004,1214.26,2769.7999999999997,1031.0,1559.0800000000002,1273.2,2148.7999999999984,1074.1200000000001,1564.54,1095.6799999999996,1539.06,2976.7999999999993,1114.1000000000006,1917.4000000000008,1586.8000000000002,1484.46,1917.4000000000008,1515.4,1365.1799999999996,1539.06,1515.4,1192.7000000000003,1462.2000000000003,1531.78,2722.8999999999996,1072.3999999999992
3,4865.480000000002,6795.0,6277.92,6193.4,6181.36,6274.720000000004,5788.88,4682.28,5746.96,4402.12,4478.639999999999,5234.400000000001,5039.64,5432.5199999999995,4531.319999999999,4497.68,3256.76,5394.0,4097.72,4638.400000000001,5520.56,5224.12,4091.36,5119.920000000002,4121.04,4899.160000000001,4942.84,5288.96,3599.52,3626.0400000000004,5171.96,4045.6000000000004,4125.28,4152.04,4020.8,4785.400000000001,4422.399999999999,4129.52,4839.4800000000005,5344.280000000001
4,27102.08,13042.0,26236.62,26313.6,25955.64,26698.44,25800.56,9587.139999999998,25700.52,21632.66,7034.28,7008.22,8438.04,6238.92,6056.439999999991,6142.48,6981.08,6911.0,4632.48,4120.800000000001,6382.98,6388.76,4032.7599999999998,6159.88,4745.02,9625.800000000001,4445.879999999999,8430.68,5082.32,5291.879999999999,8313.68,4381.8,6579.64,4454.02,7037.2,7116.400000000001,5714.599999999995,4444.26,8152.18,8335.74
5,23936.92,15893.0,23092.16,23068.4,22994.52,23113.879999999997,22547.08,24592.44,25120.64,20459.24,10225.68,12808.480000000003,15407.719999999998,8071.88,8397.92,7929.04,14782.759999999998,13083.0,8570.52,12081.4,10035.199999999993,8137.4800000000005,8100.04,8252.719999999998,8524.88,12440.68,8293.84,10700.200000000004,8508.08,9040.200000000004,7587.159999999999,8417.6,8605.32,8233.88,5977.799999999999,6203.6,8573.199999999999,8322.44,13557.2,7609.599999999997
6,24416.800000000007,33222.0,20206.399999999994,25575.5,27232.999999999978,20790.399999999994,21872.4,21752.3,22079.800000000003,17606.3,9270.799999999994,14033.9,28945.79999999998,15963.4,13563.0,15588.500000000002,18508.399999999998,13869.0,10462.000000000011,11122.0,17785.999999999993,15710.199999999999,15421.69999999999,15647.800000000003,12065.799999999992,15868.900000000001,15894.8,20549.60000000003,8412.8,12190.7,16049.6,9487.0,13539.799999999997,11774.799999999992,9503.0,15888.0,13911.0,11358.999999999996,33049.4,15516.099999999999
7,36947.16,30375.0,35589.88,35837.399999999994,40522.360000000015,35226.16000000001,37134.28,21833.719999999987,27332.72,21848.64,13465.56,15867.44,36149.67999999999,34746.8,21588.559999999958,34707.4,16419.280000000002,15169.0,16234.76,15633.999999999995,28048.56,29851.32,15695.6,17588.12,16427.48,23788.28,23656.12,28072.12,16212.72,15113.759999999998,32381.96,15864.400000000001,33533.28,16102.4,10406.4,29577.79999999998,25645.59999999997,16145.199999999999,31183.440000000002,32210.28
8,37053.92,42718.0,41102.42,45790.7,45169.979999999996,41383.72,40896.08,37266.76,33148.840000000004,36943.28,15879.02,23687.96,53429.54,32814.6,34250.24,32955.38,17578.52,23517.0,34998.119999999995,15568.6,29846.480000000003,28048.36,28202.06,31379.039999999997,29409.16,37052.06,26328.559999999998,45237.92,15868.96,16220.18,30495.52,32911.6,31637.039999999997,32444.28,16496.800000000003,31136.200000000004,32330.200000000004,32399.42,36162.599999999955,30291.16
9,48938.12,44013.0,46997.68,52875.799999999996,45023.12,48067.72,54119.12,41153.36,41394.84,41266.52,20744.079999999994,42447.88,51712.6,33711.44,32409.56,33840.04,23140.88,41998.0,33249.96,20922.199999999997,38460.4,28876.84,26534.88,34857.16,27965.04,35234.36,28653.48,49427.84,28579.12,21779.96,41231.84000000006,31357.0,34809.04,30868.04,23483.399999999998,32496.2,38009.599999999955,30732.48,69020.04,40716.64
10,52408.24,47198.0,55462.06,62650.9,60275.44,50437.88,60644.24,56645.76000000001,41590.04,49332.34,32423.820000000025,40861.68,55476.98,37907.6,44399.08,49186.26,29084.16,40081.0,34467.76,34815.999999999985,39397.94,38264.12,29497.34,33450.48,28762.94,51001.34,32516.66,74164.44,27422.720000000005,24820.90000000001,70886.04,40385.8,51857.22,38173.3,39401.60000000003,35245.7,47117.0,39590.38,71969.81999999999,44908.22
